iteration,convergenceIndicator,phase,A1_pop,tau1_pop,I0_pop,omega_A1,omega_tau1,omega_I0,corr_tau1_A1,a
141,-15965.8,1,0.209891,4.56445,0.446066,0.125427,0.118518,0.136617,-0.998875,0.0667096
142,-15963.7,1,0.207972,4.59829,0.448237,0.126468,0.118969,0.137227,-0.998786,0.0666813
143,-15972.8,1,0.206981,4.62006,0.448181,0.123711,0.116741,0.137254,-0.998752,0.06665
144,-16001.7,1,0.207578,4.61305,0.447352,0.121512,0.115004,0.141048,-0.999,0.0665833
145,-15988.1,1,0.205916,4.64586,0.448777,0.122588,0.115701,0.142829,-0.999,0.0666865
146,-15990.7,1,0.204235,4.68528,0.451047,0.12869,0.121141,0.141079,-0.999,0.0666513
147,-15986.9,1,0.205341,4.66071,0.450575,0.126903,0.119142,0.142431,-0.999,0.0666797
148,-16000.3,1,0.20489,4.67286,0.44966,0.131238,0.122641,0.141921,-0.999,0.0665885
149,-15992.2,1,0.205031,4.66727,0.451921,0.136775,0.127418,0.142007,-0.999,0.0665286
150,-15986,1,0.204519,4.67878,0.451798,0.134948,0.12583,0.143533,-0.999,0.0665858
151,-15965.1,1,0.206828,4.63018,0.447533,0.13662,0.126813,0.145921,-0.999,0.0666323
152,-15965.5,1,0.204674,4.67609,0.449301,0.145073,0.135528,0.142226,-0.999,0.0666333
153,-15933.9,1,0.206473,4.63807,0.449546,0.149317,0.138643,0.138625,-0.998701,0.0665944
154,-15926.8,1,0.202233,4.72268,0.452932,0.151771,0.140702,0.135115,-0.998999,0.0667291
155,-15954.7,1,0.201685,4.73632,0.453387,0.14852,0.137174,0.132177,-0.998932,0.0665825
156,-15932,1,0.200765,4.75699,0.4542,0.14476,0.1337,0.133455,-0.998988,0.066805
157,-15957.3,1,0.200934,4.75505,0.455969,0.141104,0.1307,0.131414,-0.999,0.0666702
158,-15939.2,1,0.200158,4.77306,0.456769,0.146791,0.136277,0.130754,-0.99891,0.0666833
159,-15936.2,1,0.197447,4.83684,0.458457,0.152174,0.139932,0.127443,-0.998778,0.0666595
160,-15960,1,0.196819,4.85217,0.459091,0.148321,0.136389,0.124216,-0.998691,0.0666036
161,-15940.1,1,0.197634,4.83298,0.457658,0.144565,0.132935,0.12253,-0.998814,0.0667521
162,-15978.4,1,0.198491,4.81269,0.456493,0.142863,0.130339,0.12691,-0.998888,0.0665312
163,-15969.5,1,0.198979,4.80352,0.457623,0.139246,0.127039,0.123697,-0.998745,0.0666295
164,-15987.7,1,0.199053,4.79971,0.457431,0.143678,0.131899,0.120565,-0.999,0.0666146
165,-15991.9,1,0.198649,4.80987,0.456139,0.14575,0.133662,0.122957,-0.999,0.0666003
166,-15944.7,1,0.199485,4.79489,0.454618,0.156613,0.144455,0.123483,-0.999,0.0666752
167,-15969.9,1,0.19855,4.82116,0.456538,0.153309,0.141213,0.120356,-0.999,0.0665917
168,-15960,1,0.198862,4.81776,0.456695,0.149427,0.137637,0.119791,-0.998563,0.0665188
169,-15963.1,1,0.198366,4.82919,0.456552,0.145643,0.134152,0.122065,-0.998622,0.0665884
170,-15957.3,1,0.197371,4.8537,0.456879,0.147434,0.135564,0.123175,-0.998925,0.0666315
171,-15951.6,1,0.196241,4.88045,0.45871,0.148014,0.137405,0.124618,-0.998904,0.0666346
172,-15921.8,1,0.195409,4.89972,0.459926,0.147587,0.137175,0.126596,-0.998551,0.0666905
173,-15947.1,1,0.196842,4.87688,0.458294,0.146419,0.136122,0.123391,-0.998424,0.0665538
174,-15950,1,0.199159,4.82864,0.456252,0.148212,0.138937,0.120267,-0.998272,0.0665052
175,-15957.7,1,0.196392,4.89247,0.459635,0.147018,0.138153,0.117221,-0.998576,0.0665524
176,-15915.4,1,0.196318,4.88885,0.457972,0.156267,0.146323,0.123541,-0.998515,0.0666453
177,-15905.3,1,0.195437,4.91005,0.460726,0.157534,0.146742,0.120413,-0.998719,0.0667693
178,-15949.2,1,0.194225,4.93582,0.461862,0.176376,0.164593,0.121326,-0.999,0.0665859
179,-15951.3,1,0.195571,4.90991,0.462301,0.17191,0.160425,0.118254,-0.999,0.0665919
180,-15916,1,0.194105,4.93504,0.46351,0.170352,0.159182,0.120931,-0.998854,0.0666276
181,-15937.2,1,0.193817,4.93864,0.462113,0.175043,0.165258,0.121129,-0.999,0.0665798
182,-15931.1,1,0.193888,4.93838,0.4615,0.177871,0.166691,0.125651,-0.999,0.0665307
183,-15882.7,1,0.189824,5.04085,0.464881,0.173367,0.16247,0.129156,-0.998569,0.0666843
184,-15899.6,1,0.190176,5.03073,0.465267,0.168977,0.158356,0.126449,-0.99846,0.0665894
185,-15917.5,1,0.190938,5.00336,0.463116,0.164699,0.154347,0.125627,-0.998791,0.0666398
186,-15929.4,1,0.191138,4.99564,0.467104,0.160528,0.150439,0.122446,-0.998696,0.0666727
187,-15888.3,1,0.191546,4.98787,0.464187,0.156464,0.146901,0.126227,-0.998216,0.0667109
188,-15912,1,0.192275,4.96868,0.464916,0.165788,0.156462,0.125062,-0.99865,0.0665971
189,-15899.7,1,0.192328,4.96679,0.464217,0.166323,0.158582,0.130071,-0.998664,0.0666284
190,-15910.9,1,0.195428,4.88427,0.459825,0.171552,0.161285,0.126777,-0.998733,0.0665704
191,-15912.5,1,0.195028,4.88688,0.460563,0.171084,0.162229,0.12592,-0.998894,0.0666131
192,-15905.3,1,0.192994,4.93493,0.461421,0.171343,0.162559,0.128068,-0.998612,0.0665541
193,-15913.5,1,0.191602,4.9717,0.46251,0.169974,0.161425,0.124825,-0.998618,0.0665485
194,-15939.8,1,0.192192,4.96204,0.461394,0.167017,0.159924,0.12799,-0.999,0.066527
195,-15924.1,1,0.190346,5.00879,0.464668,0.168377,0.162106,0.128103,-0.998965,0.0665721
196,-15932.4,1,0.193083,4.94255,0.461275,0.180792,0.172417,0.125509,-0.999,0.0664949
197,-15870,1,0.189917,5.01664,0.464471,0.212811,0.202102,0.122331,-0.999,0.0666383
198,-15895.8,1,0.194718,4.90888,0.459103,0.212232,0.202182,0.119233,-0.999,0.0665642
199,-15889.6,1,0.195888,4.87674,0.457098,0.21785,0.208237,0.116214,-0.999,0.0665883
200,-15885.6,1,0.19398,4.92751,0.459313,0.227627,0.217009,0.113271,-0.999,0.066502
201,-15848.4,1,0.193127,4.95157,0.458918,0.22571,0.214728,0.11501,-0.998679,0.0665611
202,-15860.5,1,0.196091,4.87786,0.457406,0.22167,0.212675,0.112098,-0.998445,0.0664977
203,-15833.4,1,0.201628,4.75206,0.452996,0.221954,0.212381,0.110958,-0.998694,0.0666967
204,-15842,1,0.2021,4.74112,0.451866,0.223693,0.214527,0.108149,-0.998747,0.0666838
205,-15847.9,1,0.198353,4.82601,0.45581,0.226426,0.216348,0.10541,-0.998928,0.0667389
206,-15865.4,1,0.198485,4.81954,0.456469,0.226003,0.215209,0.102741,-0.998758,0.06658
207,-15837.6,1,0.194853,4.89976,0.458454,0.228252,0.21617,0.102783,-0.998646,0.0666828
208,-15856.3,1,0.196364,4.86869,0.456952,0.222472,0.210696,0.104984,-0.998091,0.0665264
209,-15829.5,1,0.199683,4.7821,0.454609,0.219475,0.210011,0.105117,-0.997443,0.0665267
210,-15834.7,1,0.201497,4.72577,0.452446,0.223899,0.213989,0.10309,-0.997074,0.0664339
211,-15849.7,1,0.19915,4.77061,0.455395,0.222858,0.217035,0.104563,-0.997829,0.0664428
212,-15823,1,0.199671,4.77823,0.453542,0.232204,0.226602,0.103545,-0.997682,0.0665126
213,-15821.8,1,0.198071,4.80589,0.456771,0.226325,0.220864,0.106816,-0.996919,0.066472
214,-15805.3,1,0.196925,4.84773,0.457095,0.220594,0.215272,0.110182,-0.996206,0.0665531
215,-15797.4,1,0.195812,4.86771,0.458052,0.215008,0.209821,0.110858,-0.995853,0.0665636
216,-15784.5,1,0.195437,4.86925,0.458473,0.216426,0.208544,0.111466,-0.99582,0.0665695
217,-15801,1,0.19269,4.93902,0.461944,0.214578,0.208706,0.110206,-0.996103,0.0665171
218,-15780.2,1,0.193555,4.91068,0.460489,0.21234,0.204383,0.115991,-0.995728,0.0665854
219,-15774,1,0.194893,4.88674,0.459459,0.216111,0.2052,0.114933,-0.994551,0.0665209
220,-15789.4,1,0.19626,4.84521,0.45684,0.215853,0.20283,0.113269,-0.994339,0.066441
221,-15796.3,1,0.194101,4.90401,0.460598,0.210387,0.197695,0.116911,-0.995204,0.0664872
222,-15783.6,1,0.197539,4.82696,0.45804,0.20506,0.192689,0.119189,-0.995304,0.0666193
223,-15806.2,1,0.195809,4.87074,0.459691,0.199868,0.18781,0.116171,-0.994199,0.0665222
224,-15811.2,1,0.195381,4.89206,0.460739,0.194807,0.183054,0.11323,-0.992671,0.0664691
225,-15814.1,1,0.195588,4.88707,0.459861,0.189875,0.178419,0.110363,-0.991469,0.0663691
226,-15788.9,1,0.195039,4.88328,0.459889,0.185067,0.176485,0.11004,-0.99223,0.0665682
227,-15793.6,1,0.195328,4.86684,0.459023,0.194477,0.183903,0.110357,-0.992127,0.066465
228,-15780.8,1,0.190348,4.99336,0.46412,0.193621,0.183689,0.109072,-0.990922,0.0664969
229,-15753.3,1,0.191404,4.98619,0.464832,0.188718,0.179038,0.113491,-0.990199,0.066664
230,-15768.3,1,0.192702,4.95896,0.464211,0.18394,0.174505,0.110617,-0.989608,0.0666355
231,-15783.1,1,0.19024,5.03168,0.464507,0.18744,0.171714,0.113984,-0.991142,0.0665341
232,-15772.6,1,0.188495,5.05714,0.466417,0.185884,0.171865,0.113425,-0.9886,0.0665094
233,-15770.4,1,0.18839,5.06069,0.466728,0.187692,0.175818,0.112801,-0.987738,0.0664749
234,-15763.4,1,0.191764,4.98836,0.464103,0.188757,0.177647,0.111793,-0.990139,0.0665891
235,-15764.1,1,0.188925,5.0598,0.464958,0.197182,0.184298,0.108962,-0.989534,0.0665702
236,-15788.7,1,0.190804,5.01252,0.464387,0.196798,0.188227,0.106203,-0.991844,0.0664854
237,-15799,1,0.191358,4.9932,0.46305,0.202466,0.194407,0.104781,-0.992476,0.0664191
238,-15781.1,1,0.191368,4.98593,0.462785,0.205485,0.200024,0.107433,-0.993486,0.0665219
239,-15813.2,1,0.191023,4.99744,0.463741,0.200282,0.194959,0.10739,-0.995089,0.0664933
240,-15790.3,1,0.192411,4.94426,0.461866,0.198331,0.192813,0.109281,-0.995009,0.0666093
241,-15801.1,1,0.192558,4.93883,0.461836,0.199966,0.196528,0.106514,-0.994888,0.0665433
242,-15774,1,0.193568,4.90343,0.460181,0.196316,0.196963,0.105432,-0.99384,0.066641
243,-15832.3,1,0.191613,4.97003,0.463104,0.197389,0.201883,0.107818,-0.996319,0.0664658
244,-15836.9,1,0.191296,4.97317,0.461628,0.202978,0.207503,0.110818,-0.996567,0.0664046
245,-15808.5,1,0.192589,4.94467,0.462003,0.207035,0.210962,0.110621,-0.995436,0.0664329
246,-15802.2,1,0.194224,4.90339,0.460313,0.205945,0.211582,0.114218,-0.996427,0.0665366
247,-15844.3,1,0.19652,4.85409,0.457121,0.201481,0.208988,0.111642,-0.997345,0.0664522
248,-15828.5,1,0.197143,4.8378,0.456349,0.200181,0.204352,0.110693,-0.99684,0.0665045
249,-15824.1,1,0.197992,4.8081,0.45732,0.195332,0.199178,0.10789,-0.996118,0.0665224
250,-15817.4,2,0.197178,4.83022,0.4575,0.193163,0.195069,0.108763,-0.995683,0.0665249
