rep,id,eta_A1,eta_tau1,eta_A2,eta_tau2
3,36,0.0460807820737572,-0.979343776995446,0.130109889120237,-0.0278266787699939
4,36,0.13357032645653,-0.0487875402106715,0.0267615305302861,-0.505130862125441
5,36,0.14212053987977,0.113985769425736,0.00731629050343658,-0.554279863237616
6,36,-0.258239976622489,-1.6785328150697,0.195316752122851,1.06442506133427
7,36,-0.0393783337730652,-0.46882685978386,0.0547032173088619,0.203099946861397
8,36,0.0268739731127572,-0.715215987507814,0.089238317321947,0.0406499526381464
9,36,-0.0683474917541034,-1.01412632398111,0.118348166920701,0.4010583726647
10,36,0.179519439040456,0.590642567548539,-0.0654231455440032,-0.638460946005809
1,37,0.398417702367397,-0.533657614848584,0.123204290809678,-1.40411282197515
2,37,0.439822017028648,-0.28573961401024,0.0968214133172134,-1.58687468750247
3,37,0.423230846195458,-0.32102028726992,0.105426369680181,-1.56449771447588
4,37,0.410300087714376,-0.717974483380966,0.166410607307356,-1.548711991007
5,37,0.447173404390574,-0.305373903029685,0.0957556071637107,-1.57636818461498
6,37,0.432359663642297,-0.357936341128106,0.0968149007119185,-1.49204813955646
7,37,0.487949497034826,0.186082468826692,0.0285032973072363,-1.7217374779808
8,37,0.462022466114812,-0.301937185756986,0.0939532548843807,-1.6059568309086
9,37,0.427488249306428,-0.329946076148734,0.0947936896596986,-1.48849810122195
10,37,0.486066592057549,0.181054079303734,0.0297503940025984,-1.72284738085237
1,38,-0.264712004683123,-1.50612384851226,0.180524658741498,1.00823989579212
2,38,0.0292588136507084,-0.169306936910319,0.0239397744809995,-0.0715298605642969
3,38,0.0960939655079517,0.277906121166357,-0.0309776491111178,-0.32877656022248
4,38,-0.0294984889697726,-0.683261608303678,0.084487147862879,0.191378387233791
5,38,-0.0570986141103616,-0.414141691830649,0.0593794995685345,0.16506461385846
6,38,-0.103274693114998,-1.19966918511609,0.12542202445513,0.638665573805818
7,38,-0.0423471358770597,-0.517450413549021,0.0412980143239454,0.361695930847621
8,38,0.0741419451279652,-0.223455309458741,0.0356727924293817,-0.223089915312087
9,38,0.0497534751942344,-0.0862606701739283,0.0263416760317417,-0.230600400221285
10,38,0.00303236483828605,-0.247517062034268,0.0343396413787082,0.00309923881283353
1,39,-0.137374555040783,0.0611042018072177,-0.0239273576171912,0.480130976140916
2,39,-0.360265342429041,-0.336986871058717,0.00692959506976476,1.27990819248141
3,39,-0.189368668370989,-0.621880048407385,0.0564728363536088,0.7601465890205
4,39,-0.0946459731201986,0.447240086671284,-0.0642685207680564,0.244162916152635
5,39,-0.171526737389599,-0.141776267501365,-0.0047556206606784,0.646620805062921
6,39,0.00411758479142847,0.956030529631776,-0.131138666663231,-0.073796341419192
7,39,0.0379960449005214,1.10896092974958,-0.150832757851271,-0.185768780136625
8,39,-0.105713017644538,0.523823472009533,-0.0855531962258396,0.346223307211902
9,39,-0.219561798787929,-0.0449704352340313,-0.0366497231953602,0.902807056124538
10,39,-0.219782116043406,0.252866728460471,-0.0724120841498794,0.847488564593213
1,22,0.440964975147442,-0.0895939105842517,0.0655591858801105,-1.56805985648174
2,22,0.475803173097711,-0.120355032353308,0.0759630142397792,-1.70827179257318
3,22,0.368152676361002,-0.524412226351922,0.130948846742589,-1.38495189645501
4,22,0.442744139427278,-0.114313625230568,0.0626652025660967,-1.53017097292214
5,22,0.482243219406961,-0.105863181670413,0.0753996405731599,-1.73314039187708
6,22,0.490769460124254,0.358249222622388,0.0224060634959637,-1.8661629977031
7,22,0.468801855227502,0.315609406195377,0.0221104826152565,-1.76329889327587
8,22,0.412228226314067,-0.351919420511421,0.100168952968962,-1.46485179795878
9,22,0.493668820316185,0.387819849485189,0.0183545781833178,-1.87537890867689
10,22,0.429701972366799,-0.813368700922478,0.152302523786326,-1.40394229767215
1,40,0.356327188226131,0.386240128196496,-0.0190225256122036,-1.23480782047903
2,40,0.343835279408214,0.913175995190227,-0.0737391358371064,-1.36161531705447
3,40,0.341863711215304,0.948740603322144,-0.0878641680182903,-1.29747111632079
4,40,0.350832615898197,0.409512722017464,-0.022403673747125,-1.21958300883524
5,40,0.225717241597366,-0.0762442348855697,0.0404384245222113,-0.820492361284603
6,40,0.215270096207705,-0.670729573418635,0.113367361060539,-0.689899840962609
7,40,0.156317812003229,-0.805055246873525,0.130463454533336,-0.508862755502991
8,40,0.255098367561095,0.427866858409408,0.00106346546279008,-1.14399735372477
9,40,0.265832905960712,-0.46970801909909,0.0922193701137539,-0.88622759912129
10,40,0.360423015265765,0.217070967313067,0.0239966714697598,-1.37228561644355
1,41,0.0705549540845921,-0.595536344476136,0.0881027282416375,-0.195790656346541
2,41,-0.0399528049430031,-1.27501024608276,0.15934498746661,0.302714095801425
3,41,0.112061732683517,-0.262520448535837,0.0385037851839074,-0.304082788540907
4,41,0.0157412178648245,-0.568327511052396,0.0957736745207646,-0.130211749200823
5,41,0.114122441303211,0.0608150654403291,0.00267018431659614,-0.390580814432668
6,41,0.271386561089417,0.762679705114396,-0.0764951318154962,-0.987934350576452
7,41,-0.0326143932079409,-1.13158131642332,0.143753516939141,0.246962037412662
8,41,0.0242546716124786,-0.84774634594835,0.118497125722586,-0.0265911506030128
9,41,0.253068723668524,0.781072805605402,-0.0717150361253105,-0.989580848347651
10,41,-0.0274882549274324,-0.541644689563948,0.0641928612736269,0.185875968477738
1,42,0.20048402221463,1.26130454513168,-0.135594070489045,-0.896215418445362
2,42,-0.0901214763205188,-0.256358804475427,0.0281111372757735,0.312027062795138
3,42,-0.061757525613551,-0.033133930142577,0.00455508155820919,0.169192505225277
4,42,-0.155177859724736,-0.719459371411665,0.0854092134256179,0.56730780732757
5,42,0.114164064314063,0.88473920860918,-0.116393211240329,-0.405022486586538
6,42,-0.0389523957535199,-0.191082246772436,0.0171618405206225,0.183373634980539
7,42,-0.135769782924382,-0.900186548094541,0.0914707089861794,0.656871705275698
8,42,0.071818994039494,0.570390976854014,-0.0623760498948231,-0.347915740942806
9,42,-0.112322852027214,-0.17982054907926,0.0229353262112497,0.327189935662436
10,42,-0.13279586174122,-0.590142871902821,0.0537543795824419,0.596009673437892
1,23,0.213467172458223,-0.220409904540617,0.0692216393954711,-0.839408652636592
2,23,0.210009608405604,-0.545471613073859,0.102359198537215,-0.733520195108563
3,23,0.275167633124225,-0.312538766554661,0.074571177228564,-0.951080649258325
4,23,0.233880155704677,-0.293866426234226,0.0544878295832882,-0.718038685601787
5,23,0.17863813541965,-0.659997371296881,0.0955291000871031,-0.476600983861152
6,23,0.227119672032224,-0.112048415810162,0.0514750334743544,-0.867577815439314
7,23,0.203337071791274,-0.0523978409807496,0.0360453929396792,-0.755536812483475
8,23,0.169390082479477,-0.442487561766427,0.0886893809856447,-0.630374269982079
9,23,0.25308805137003,-0.356316374183234,0.10351043312131,-1.04434676188337
10,23,0.190379460531091,-0.307214975363956,0.049455944803341,-0.547827050305177
1,24,-0.267751520591528,-0.688043297512783,0.0491875202074898,1.09028367826541
2,24,-0.339398625701103,-0.633843117410511,0.052869039255001,1.2122866182119
3,24,-0.2611947504113,-0.269540681435208,0.00236429319038603,0.977684515560823
4,24,-0.221509249488172,0.329769683310029,-0.0652795733888898,0.72391226300982
5,24,-0.22387620693207,-0.224818640910909,-0.00936283042620712,0.909505037423023
6,24,-0.213232326285606,-0.555887658137664,0.0516820386055367,0.791017441597923
7,24,-0.189186265475096,0.462896033598343,-0.0782747798026337,0.588222194452628
8,24,-0.22334443893591,-0.220494232729878,-0.00475567726453934,0.870010846026686
9,24,-0.206211334622378,-0.319018161604868,0.0195687158180644,0.753548872229124
10,24,-0.117881487285755,0.350902613501839,-0.0631435929256758,0.401338009020874
1,25,0.130249889730027,0.255897113148598,-0.00863433789254187,-0.55817190386885
2,25,0.161392518757476,0.427578231397772,-0.0303061316365938,-0.664014438486457
3,25,0.0547264882932162,0.0433722211670649,-0.00435228954779529,-0.164421447757882
4,25,0.0168301335930345,-0.657090313949319,0.085307241289266,0.0324545618898106
5,25,0.296268019739036,0.752631235597851,-0.0609568237348298,-1.15580895600426
6,25,0.107880128772716,0.0161445310264031,0.0105993392434741,-0.38579357924878
7,25,0.0260670713973034,-0.735100864133654,0.101951443408765,-0.0339251793172431
8,25,0.0407908490374001,-0.493794355500493,0.0715922503894056,-0.106199207955535
9,25,0.11814802450363,-0.0252408771579054,0.0210830775319344,-0.444789431168711
10,25,0.14920273830796,0.199520971779313,-0.0164976564790036,-0.496360489512122
1,26,-0.570673474426285,0.884245979528888,-0.199277561095823,2.0420565161144
2,26,-0.531858737494106,1.64551639771566,-0.288390995747584,1.78220896082805
3,26,-0.667881349856526,1.77708676329911,-0.311881451656654,2.18052951056369
4,26,-0.576060660100353,0.890765182693807,-0.198375693499834,2.04615906145871
5,26,-0.518622311576329,1.60840478937913,-0.29169960797234,1.80384701823986
6,26,-0.66743479284625,1.77779284697929,-0.309272204777698,2.1563929240107
7,26,-0.736403697589715,0.628971531543128,-0.186501170178529,2.67117530665029
8,26,-0.537383447085528,1.62350971013609,-0.287124805330743,1.80733256018103
9,26,-0.677693417777621,1.78243068349957,-0.307108351952756,2.16535935464467
