rep,id,eta_A1,eta_tau1,eta_I0
2,70,0.00404384031371637,0.441740893450451,-0.22094555011846
3,70,-0.358240072337227,1.55225760625932,-0.102062688682852
4,70,0.27434138828215,-0.953508191660366,-0.131306789966245
5,70,-1.18553751755438,2.68212929731673,-0.00324434601510616
6,70,-0.868113648793407,2.42431612331738,-0.0877485436468347
7,70,-0.377859658885203,1.20190035888386,-0.124493747070752
8,70,0.0947045376593609,-0.813415370082134,-0.151688918176705
9,70,-0.246760474879757,0.500063212838698,-0.0693492216424678
10,70,0.173291494516219,-0.4625898248632,-0.11334181570814
1,71,0.205980108525494,0.192162082288424,-0.0715918641861293
2,71,-0.709292639069498,1.8258155358748,-0.0208711627740134
3,71,-0.225223409584113,0.753438667503612,-0.0345200412687026
4,71,-1.26288147350986,3.28972265096664,0.0169502199655487
5,71,0.00154151432409026,-0.320480648274909,-0.108742348326295
6,71,-0.0995201944583244,0.417991810642118,-0.011551934235881
7,71,-0.724481199620533,1.10530623241158,0.0168651174770031
8,71,-1.36023986501143,3.09556601187542,-0.0399325219303402
9,71,0.366887898018433,-0.614408218267569,-0.0717509436980861
10,71,-0.0679679959540029,0.0789850272038808,-0.0339251517583256
1,72,0.413627077352888,-1.29267325000707,0.0153248226864645
2,72,-0.495765729990677,0.955392994370805,0.11224314757387
3,72,-0.160726893840485,1.2433852071496,0.00266936770611065
4,72,0.87319605091692,-1.63432236863657,0.00350451743112584
5,72,0.479232640278081,-1.55383035267265,0.000336753667247631
6,72,0.524422623279297,-1.99311254537937,-0.0272556811897554
7,72,0.922674411822087,-2.90057655943217,-0.0438381392282858
8,72,-0.223039906851922,0.709891409413244,0.043129601466182
9,72,0.0125805868562021,1.15949857484682,0.0432201175095262
10,72,0.735362303466328,-2.34095629270814,-0.0737068999791839
