A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.196848,0.556818,5.16049,0.556818,0.473307,0.556818,All
0.196851,0.558712,5.16499,0.558712,0.473382,0.558712,All
0.197069,0.560606,5.16616,0.560606,0.473571,0.560606,All
0.197371,0.5625,5.17806,0.5625,0.473575,0.5625,All
0.197387,0.564394,5.18579,0.564394,0.473579,0.564394,All
0.19779,0.566288,5.18845,0.566288,0.473872,0.566288,All
0.197943,0.568182,5.19074,0.568182,0.474345,0.568182,All
0.198005,0.570076,5.19696,0.570076,0.474502,0.570076,All
0.198104,0.57197,5.19902,0.57197,0.474698,0.57197,All
0.198108,0.573864,5.20703,0.573864,0.474875,0.573864,All
0.198349,0.575758,5.22359,0.575758,0.474877,0.575758,All
0.198803,0.577652,5.23077,0.577652,0.474946,0.577652,All
0.198889,0.579545,5.23959,0.579545,0.475024,0.579545,All
0.198928,0.581439,5.2424,0.581439,0.475433,0.581439,All
0.199161,0.583333,5.2514,0.583333,0.475565,0.583333,All
0.199192,0.585227,5.25166,0.585227,0.475695,0.585227,All
0.199496,0.587121,5.25177,0.587121,0.475838,0.587121,All
0.199571,0.589015,5.25395,0.589015,0.475911,0.589015,All
0.199778,0.590909,5.25498,0.590909,0.476185,0.590909,All
0.200358,0.592803,5.25873,0.592803,0.476652,0.592803,All
0.200711,0.594697,5.26057,0.594697,0.477059,0.594697,All
0.200952,0.596591,5.26171,0.596591,0.477103,0.596591,All
0.201002,0.598485,5.26196,0.598485,0.477437,0.598485,All
0.201362,0.600379,5.27377,0.600379,0.477571,0.600379,All
0.201413,0.602273,5.27396,0.602273,0.477749,0.602273,All
0.201419,0.604167,5.27407,0.604167,0.47775,0.604167,All
0.201434,0.606061,5.28358,0.606061,0.4778,0.606061,All
0.201563,0.607955,5.28544,0.607955,0.47814,0.607955,All
0.201732,0.609848,5.29199,0.609848,0.47834,0.609848,All
0.201766,0.611742,5.29652,0.611742,0.478365,0.611742,All
0.202565,0.613636,5.29656,0.613636,0.478388,0.613636,All
0.202613,0.61553,5.29694,0.61553,0.478467,0.61553,All
0.202665,0.617424,5.30769,0.617424,0.478864,0.617424,All
0.203034,0.619318,5.32085,0.619318,0.479023,0.619318,All
0.203086,0.621212,5.326,0.621212,0.479083,0.621212,All
0.203194,0.623106,5.32988,0.623106,0.47924,0.623106,All
0.203215,0.625,5.33259,0.625,0.479572,0.625,All
0.203366,0.626894,5.34877,0.626894,0.479811,0.626894,All
0.203602,0.628788,5.35313,0.628788,0.479922,0.628788,All
0.203911,0.630682,5.35405,0.630682,0.480114,0.630682,All
0.203978,0.632576,5.35725,0.632576,0.480415,0.632576,All
0.204179,0.63447,5.3588,0.63447,0.480904,0.63447,All
0.204261,0.636364,5.35942,0.636364,0.481208,0.636364,All
0.204273,0.638258,5.36181,0.638258,0.481372,0.638258,All
0.204559,0.640152,5.36201,0.640152,0.481763,0.640152,All
0.20484,0.642045,5.36236,0.642045,0.48197,0.642045,All
0.204936,0.643939,5.36584,0.643939,0.482161,0.643939,All
0.20503,0.645833,5.36904,0.645833,0.48237,0.645833,All
0.205277,0.647727,5.372,0.647727,0.482536,0.647727,All
0.205298,0.649621,5.37421,0.649621,0.483712,0.649621,All
0.205391,0.651515,5.38562,0.651515,0.484022,0.651515,All
0.205571,0.653409,5.39019,0.653409,0.484166,0.653409,All
0.205747,0.655303,5.39287,0.655303,0.484336,0.655303,All
0.205771,0.657197,5.39317,0.657197,0.484549,0.657197,All
0.205808,0.659091,5.39388,0.659091,0.485148,0.659091,All
0.205866,0.660985,5.3983,0.660985,0.485524,0.660985,All
0.206147,0.662879,5.40417,0.662879,0.48556,0.662879,All
0.206435,0.664773,5.41819,0.664773,0.485611,0.664773,All
0.206534,0.666667,5.42118,0.666667,0.485626,0.666667,All
0.20654,0.668561,5.42296,0.668561,0.485642,0.668561,All
0.206574,0.670455,5.43164,0.670455,0.485749,0.670455,All
0.206873,0.672348,5.43346,0.672348,0.485829,0.672348,All
0.207025,0.674242,5.4394,0.674242,0.486033,0.674242,All
0.20731,0.676136,5.44797,0.676136,0.486296,0.676136,All
0.207751,0.67803,5.45094,0.67803,0.486922,0.67803,All
0.208187,0.679924,5.453,0.679924,0.487198,0.679924,All
0.208313,0.681818,5.45904,0.681818,0.487388,0.681818,All
0.208363,0.683712,5.46182,0.683712,0.487427,0.683712,All
0.209854,0.685606,5.46253,0.685606,0.487698,0.685606,All
0.209875,0.6875,5.46552,0.6875,0.488062,0.6875,All
0.210507,0.689394,5.47893,0.689394,0.488463,0.689394,All
0.210589,0.691288,5.48255,0.691288,0.489002,0.691288,All
0.210782,0.693182,5.48779,0.693182,0.489393,0.693182,All
0.210788,0.695076,5.4915,0.695076,0.48941,0.695076,All
0.210868,0.69697,5.5061,0.69697,0.489557,0.69697,All
0.210872,0.698864,5.51542,0.698864,0.489985,0.698864,All
0.211118,0.700758,5.51985,0.700758,0.490238,0.700758,All
0.211503,0.702652,5.53445,0.702652,0.490279,0.702652,All
0.211528,0.704545,5.53627,0.704545,0.490361,0.704545,All
0.211674,0.706439,5.53717,0.706439,0.49093,0.706439,All
0.211681,0.708333,5.53931,0.708333,0.491028,0.708333,All
0.211718,0.710227,5.54186,0.710227,0.491218,0.710227,All
0.211854,0.712121,5.55982,0.712121,0.49133,0.712121,All
0.212092,0.714015,5.56048,0.714015,0.491354,0.714015,All
0.212285,0.715909,5.57388,0.715909,0.491521,0.715909,All
0.212409,0.717803,5.57896,0.717803,0.491528,0.717803,All
