time,REF_raw,BG,ROI_raw,id,exp_tag,ROI,REF,intensity
23.357100000000003,8805.19,543.549,5702.096,39,glucose_005,5172.136549999999,8275.23055,0.7662269899448814
23.711,9334.381,531.567,5768.318,39,glucose_005,5238.35855,8804.42155,0.8256641169335154
24.0649,7682.833,522.33,5686.746,39,glucose_005,5156.78655,7152.873549999999,0.6603391773308951
24.418799999999997,7827.476,525.705,5681.503,39,glucose_005,5151.543549999999,7297.516549999999,0.6730073783656753
24.7727,8723.69,524.972,5692.916,39,glucose_005,5162.95655,8193.73055,0.7573340959135724
25.1265,7030.238,540.592,5655.642,39,glucose_005,5125.6825499999995,6500.27855,0.5964733358874651
25.480400000000003,7732.071,522.283,5770.851,39,glucose_005,5240.891549999999,7202.11155,0.6757287201668207
25.8343,7774,537.206,5603.454,39,glucose_005,5073.494549999999,7244.04055,0.6579538495414444
26.188200000000002,7545,529.186,5725.825,39,glucose_005,5195.8655499999995,7015.04055,0.6525224403391323
26.542099999999998,7454.048,537.551,5733.546,39,glucose_005,5203.58655,6924.0885499999995,0.645019370544765
26.896,9172.5,531.633,5600.198,39,glucose_005,5070.23855,8642.54055,0.7844715180355818
27.249899999999997,8131.214,536.853,5555.954,39,glucose_005,5025.994549999999,7601.25455,0.683934719622094
27.6038,7839.762,536.38,5629.392,39,glucose_005,5099.4325499999995,7309.802549999999,0.6673211033619653
27.957700000000003,7976.905,518.266,5539.227,39,glucose_005,5009.26755,7446.9455499999995,0.6678205334620315
28.3116,6441.262,534.781,5630.409,39,glucose_005,5100.449549999999,5911.302549999999,0.5397578973539381
28.6655,8951.833,526.367,5694.412,39,glucose_005,5164.45255,8421.87355,0.7786465601323554
29.019399999999997,8241.762,535.439,5590.747,39,glucose_005,5060.78755,7711.80255,0.6986849187709242
29.3733,8252.238,521.474,5570.252,39,glucose_005,5040.29255,7722.278549999999,0.6968006850032038
29.727199999999996,9542.905,526.457,5645.429,39,glucose_005,5115.46955,9012.94555,0.8253907786062482
30.0811,9498.857,520.041,5599.149,39,glucose_005,5069.18955,8968.89755,0.813926063070682
30.434999999999995,7481.881,515.317,5573.497,39,glucose_005,5043.53755,6951.92155,0.6276932848302439
30.788899999999998,8287.929,523.377,5551.876,39,glucose_005,5021.91655,7757.96955,0.6974690227370359
31.1428,8174.476,535.05,5733.885,39,glucose_005,5203.92555,7644.516549999999,0.7121778484278747
31.4966,7462.905,553.407,5552.185,39,glucose_005,5022.22555,6932.9455499999995,0.6233347858513508
0,6302.292,536.539,13898.935,4,glucose_005,13356.23929,5759.59629,0.35613667314017766
0.35389999999999944,10020.146,528.479,13995.53,4,glucose_005,13452.83429,9477.45029,0.590263285302926
0.7077999999999998,9757.667,544.865,14981.569,4,glucose_005,14438.87329,9214.97129,0.6159816212928308
1.0617,10374.833,542.529,14650.545,4,glucose_005,14107.84929,9832.13729,0.6421688106399719
1.4155999999999995,11062.958,546.261,14251.789,4,glucose_005,13709.09329,10520.26229,0.6676913691398265
1.7694999999999999,10898.563,549.867,13824.228,4,glucose_005,13281.53229,10355.86729,0.636759043441007
2.1234,11420.312,541.061,14175.34,4,glucose_005,13632.64429,10877.61629,0.6865217499133058
2.4772999999999996,12413.917,527.034,13789.198,4,glucose_005,13246.50229,11871.22129,0.7280095601343072
2.8312,10637.771,564.663,13750.833,4,glucose_005,13208.13729,10095.07529,0.6172933517609058
3.1851000000000003,11969.021,533.366,13314.503,4,glucose_005,12771.80729,11426.32529,0.6756151870345276
3.5389999999999997,13815.604,540.138,13118.202,4,glucose_005,12575.50629,13272.90829,0.77273758314026475
3.8929,11706.833,540.239,13327.999,4,glucose_005,12785.30329,11164.13729,0.6608100907019687
4.2467999999999995,12026.292,532.762,13419.841,4,glucose_005,12877.14529,11483.59629,0.6846017026852071
4.6007,10621.042,547.901,13337.752,4,glucose_005,12795.05629,10078.34629,0.596996713407557
4.954599999999999,11228.896,550.217,12979.179,4,glucose_005,12436.48329,10686.20029,0.6152637998973476
5.3085,11214.792,544.922,12863.049,4,glucose_005,12320.353290000001,10672.09629,0.6087140968685935
5.6624,11086.646,539.718,12690.655,4,glucose_005,12147.95929,10543.95029,0.5929896871074458
6.0161999999999995,11030.729,544.225,12857.824,4,glucose_005,12315.12829,10488.03329,0.5979618273341402
6.370099999999999,10520.354,542.388,12579.602,4,glucose_005,12036.90629,9977.65829,0.5560117489784882
6.724,11473.646,535.947,12573.595,4,glucose_005,12030.89929,10930.95029,0.6088306020075648
7.0779,10368.75,540.464,12361.686,4,glucose_005,11818.99029,9826.05429,0.5376504306962911
7.431799999999999,10515.125,546.607,12077.07,4,glucose_005,11534.37429,9972.42929,0.5325194424300355
7.7857,11851.021,529.911,12166.285,4,glucose_005,11623.58929,11308.32529,0.6085258220203796
8.1396,10635.583,539.922,12515.926,4,glucose_005,11973.23029,10092.88729,0.559457656698046
8.4935,12185.292,537.074,12563.457,4,glucose_005,12020.76129,11642.59629,0.6479213252596183
8.8474,11430.729,540.548,12578.312,4,glucose_005,12035.61629,10888.03329,0.6066779860022178
