rep,ID,time,observation,indivPredSimulated,censored,split,color,filter
4,64,11.8278,0.714433,0.631075,0,All,#4682B4,0
5,64,11.8278,0.714433,0.623331,0,All,#4682B4,0
6,64,11.8278,0.714433,0.627036,0,All,#4682B4,0
7,64,11.8278,0.714433,0.622741,0,All,#4682B4,0
8,64,11.8278,0.714433,0.628658,0,All,#4682B4,0
1,64,12.1817,0.646652,0.613522,0,All,#4682B4,0
2,64,12.1817,0.646652,0.622104,0,All,#4682B4,0
3,64,12.1817,0.646652,0.623174,0,All,#4682B4,0
4,64,12.1817,0.646652,0.631075,0,All,#4682B4,0
5,64,12.1817,0.646652,0.623331,0,All,#4682B4,0
6,64,12.1817,0.646652,0.627036,0,All,#4682B4,0
7,64,12.1817,0.646652,0.622741,0,All,#4682B4,0
8,64,12.1817,0.646652,0.628658,0,All,#4682B4,0
1,64,12.5356,0.642466,0.613522,0,All,#4682B4,0
2,64,12.5356,0.642466,0.622104,0,All,#4682B4,0
3,64,12.5356,0.642466,0.623174,0,All,#4682B4,0
4,64,12.5356,0.642466,0.631075,0,All,#4682B4,0
5,64,12.5356,0.642466,0.623331,0,All,#4682B4,0
6,64,12.5356,0.642466,0.627036,0,All,#4682B4,0
7,64,12.5356,0.642466,0.622741,0,All,#4682B4,0
8,64,12.5356,0.642466,0.628658,0,All,#4682B4,0
1,64,12.8895,0.56545,0.613522,0,All,#4682B4,0
2,64,12.8895,0.56545,0.622104,0,All,#4682B4,0
3,64,12.8895,0.56545,0.623174,0,All,#4682B4,0
4,64,12.8895,0.56545,0.631075,0,All,#4682B4,0
5,64,12.8895,0.56545,0.623331,0,All,#4682B4,0
6,64,12.8895,0.56545,0.627036,0,All,#4682B4,0
7,64,12.8895,0.56545,0.622741,0,All,#4682B4,0
8,64,12.8895,0.56545,0.628658,0,All,#4682B4,0
1,64,13.2434,0.687537,0.613522,0,All,#4682B4,0
2,64,13.2434,0.687537,0.622104,0,All,#4682B4,0
3,64,13.2434,0.687537,0.623174,0,All,#4682B4,0
4,64,13.2434,0.687537,0.631075,0,All,#4682B4,0
5,64,13.2434,0.687537,0.623331,0,All,#4682B4,0
6,64,13.2434,0.687537,0.627036,0,All,#4682B4,0
7,64,13.2434,0.687537,0.622741,0,All,#4682B4,0
8,64,13.2434,0.687537,0.628658,0,All,#4682B4,0
1,64,13.5973,0.687505,0.613522,0,All,#4682B4,0
2,64,13.5973,0.687505,0.622104,0,All,#4682B4,0
3,64,13.5973,0.687505,0.623174,0,All,#4682B4,0
4,64,13.5973,0.687505,0.631075,0,All,#4682B4,0
5,64,13.5973,0.687505,0.623331,0,All,#4682B4,0
6,64,13.5973,0.687505,0.627036,0,All,#4682B4,0
7,64,13.5973,0.687505,0.622741,0,All,#4682B4,0
8,64,13.5973,0.687505,0.628658,0,All,#4682B4,0
1,64,13.9512,0.613537,0.613522,0,All,#4682B4,0
2,64,13.9512,0.613537,0.622104,0,All,#4682B4,0
3,64,13.9512,0.613537,0.623174,0,All,#4682B4,0
4,64,13.9512,0.613537,0.631075,0,All,#4682B4,0
5,64,13.9512,0.613537,0.623331,0,All,#4682B4,0
6,64,13.9512,0.613537,0.627036,0,All,#4682B4,0
7,64,13.9512,0.613537,0.622741,0,All,#4682B4,0
8,64,13.9512,0.613537,0.628658,0,All,#4682B4,0
1,64,14.3051,0.5619,0.613522,0,All,#4682B4,0
2,64,14.3051,0.5619,0.622104,0,All,#4682B4,0
3,64,14.3051,0.5619,0.623174,0,All,#4682B4,0
4,64,14.3051,0.5619,0.631075,0,All,#4682B4,0
5,64,14.3051,0.5619,0.623331,0,All,#4682B4,0
6,64,14.3051,0.5619,0.627036,0,All,#4682B4,0
7,64,14.3051,0.5619,0.622741,0,All,#4682B4,0
8,64,14.3051,0.5619,0.628658,0,All,#4682B4,0
1,64,14.659,0.629374,0.613522,0,All,#4682B4,0
2,64,14.659,0.629374,0.622104,0,All,#4682B4,0
3,64,14.659,0.629374,0.623174,0,All,#4682B4,0
4,64,14.659,0.629374,0.631075,0,All,#4682B4,0
5,64,14.659,0.629374,0.623331,0,All,#4682B4,0
6,64,14.659,0.629374,0.627036,0,All,#4682B4,0
