ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
200,16.2792,0.654631,0.474562,0.474562,0.735381,-0.42825,-0.42825,0.73984,-0.495288,-0.495288,0.654631,0.535432,0.535432,0,All,#4682B4,0
200,16.6331,0.654631,0.534008,0.534008,0.735381,-0.417292,-0.417292,0.73984,-0.48433,-0.48433,0.654631,0.550277,0.550277,0,All,#4682B4,0
200,16.987,0.654631,0.567036,0.567036,0.735381,-0.418114,-0.418114,0.73984,-0.485152,-0.485152,0.654631,0.573792,0.573792,0,All,#4682B4,0
200,17.3409,0.654631,-0.0161305,-0.0161305,0.735381,-1.13234,-1.13234,0.73984,-1.19938,-1.19938,0.654631,0.00536691,0.00536691,0,All,#4682B4,0
200,17.6948,0.654631,0.496064,0.496064,0.735381,-0.519994,-0.519994,0.73984,-0.587031,-0.587031,0.654631,0.628973,0.628973,0,All,#4682B4,0
200,18.0487,0.654631,0.860347,0.860347,0.735381,-0.0193688,-0.0193688,0.73984,-0.0864067,-0.0864067,0.654631,0.838432,0.838432,0,All,#4682B4,0
200,18.4026,0.654631,0.892962,0.892962,0.735381,-0.00929168,-0.00929168,0.73984,-0.0763297,-0.0763297,0.654631,0.940835,0.940835,0,All,#4682B4,0
200,18.7564,0.654631,0.828981,0.828981,0.735381,0.0392806,0.0392806,0.73984,-0.0277574,-0.0277574,0.654631,0.868923,0.868923,0,All,#4682B4,0
200,19.1103,0.654631,0.591458,0.591458,0.735381,-0.280796,-0.280796,0.73984,-0.347834,-0.347834,0.654631,0.636476,0.636476,0,All,#4682B4,0
200,19.4642,0.654631,1.33622,1.33622,0.735381,0.775036,0.775036,0.73984,0.707998,0.707998,0.654631,1.27725,1.27725,0,All,#4682B4,0
200,19.8181,0.654631,0.107086,0.107086,0.735381,-0.953695,-0.953695,0.73984,-1.02073,-1.02073,0.654631,0.192895,0.192895,0,All,#4682B4,0
200,20.172,0.654631,0.479419,0.479419,0.735381,-0.464617,-0.464617,0.73984,-0.531655,-0.531655,0.654631,0.464464,0.464464,0,All,#4682B4,0
200,20.5259,0.654631,0.92783,0.92783,0.735381,0.0735712,0.0735712,0.73984,0.00653326,0.00653326,0.654631,0.967132,0.967132,0,All,#4682B4,0
