rep,id,A1,tau1,A2,p
8,35,0.567799906987374,5.08804145220893,0.683562729661359,1
9,35,0.574135828195783,4.01842074004468,0.667398101002671,0.999999999794389
10,35,0.558196663654058,5.81328894839227,0.696151857563099,0.999999999999478
1,36,0.539833146464582,8.50269006435989,0.707805631323249,1
2,36,0.5366246321247,6.8870685685737,0.708605841416035,0.999217948902169
3,36,0.532594068342322,5.90134622173234,0.716384773046803,0.999999999568225
4,36,0.552897201015531,6.53486668651069,0.687978390287627,0.999993848383178
5,36,0.526127248415579,4.7184538664336,0.720331763154679,1
6,36,0.507988097004232,7.04170154523726,0.73657604174036,0.999999819973994
7,36,0.524093362679084,7.23387950496594,0.723987607694415,1
8,36,0.545193343269133,5.21527434745174,0.706625240686724,1
9,36,0.523213920134212,4.90766663724377,0.715600215847994,1
10,36,0.52606947239359,7.10207285109493,0.716802340741688,0.998027213807585
1,37,0.640877198260618,6.40549902759545,0.624070026839657,0.73206058399605
2,37,0.658650048656666,5.39927307023538,0.612142120065855,1
3,37,0.655480304685045,6.28755143549729,0.610723658504692,0.999999998004843
4,37,0.429141114504855,8.13985857392951,0.838663587679399,0.5088892150842
5,37,0.647680622511272,4.43331853781782,0.623177438910898,0.999999986395531
6,37,0.437608442728522,8.89760853624563,0.819177771997417,0.419832496015818
7,37,0.642230845525139,5.07977092186106,0.621325374984992,1
8,37,0.409275121393686,6.50649322117013,0.866421758784051,0.453813060872672
9,37,0.643957118060663,4.67040566548452,0.616705740477787,1
10,37,0.428874781765593,4.71922509831302,0.829823737502309,0.454689359184835
1,38,0.507183959107658,8.38889419446113,0.737591607278778,0.999999993960524
2,38,0.527711122301993,4.46867848392067,0.71023568327511,1
3,38,0.522697891663341,4.58908744165866,0.720026441268578,0.999999999553587
4,38,0.500906496778971,5.05796763943208,0.734831374887286,1
5,38,0.524627703779035,6.69298226404288,0.718336019013678,1
6,38,0.503115994310114,6.53365518493066,0.743226460493551,1
7,38,0.518271889139184,5.39025842959163,0.725042569282393,1
8,38,0.508582377506751,5.68902716682146,0.737099148784203,1
9,38,0.506724268523823,10.675445605343,0.748856025677356,0.999999157279726
10,38,0.524075380784351,6.41530541287611,0.725451716317277,1
1,39,0.460117678751524,9.45573907734583,0.798806170197606,1
2,39,0.478224103740732,5.0332459994569,0.772039418193668,0.999996883577203
3,39,0.456619964320373,8.90286787133074,0.797221344623788,1
4,39,0.493510946244419,8.42868728030986,0.748225014715523,0.999999959146239
5,39,0.467905552660749,6.399334601996,0.78906171659014,1
6,39,0.458298774654288,8.59792432581023,0.798977088516206,1
7,39,0.471649885585724,8.27773363919853,0.78497435441422,1
8,39,0.467293675157416,8.03184561725035,0.785232668598643,0.999999959768716
9,39,0.465862617488732,4.92501793724165,0.781831607832044,1
10,39,0.444454560626775,6.67821544814811,0.813393657111215,1
1,22,0.643455768808837,4.53984275876775,0.623729565972175,0.999999999801038
2,22,0.656286218327349,5.31096983649416,0.614363494178916,0.999999489319467
3,22,0.658984634507701,4.42409041614673,0.608915457867534,1
4,22,0.639008118625766,7.03978777604769,0.626098791116797,0.999999999999953
5,22,0.645006341676051,10.1478913098825,0.627656543180581,0.999999999999988
6,22,0.497132642679926,8.21576721135779,0.750050347011139,0.392071265213629
7,22,0.627987660529724,6.80344165017554,0.633568083616944,1
8,22,0.659077550911009,5.39146784568517,0.605445485134996,0.99995277827741
9,22,0.626244122470168,8.42057946875885,0.633794833233646,1
10,22,0.645246440425239,5.98033589416079,0.618348903577424,0.999964560176869
1,40,0.578267113349048,7.40769152016528,0.671560880645427,0.999996063463625
2,40,0.590272470483425,6.22637015449272,0.665224246692397,1
3,40,0.557104023461069,7.8315491658759,0.689576735430119,0.999999999998963
4,40,0.564600892600396,8.11004874967689,0.684210619819594,1
5,40,0.574387890858116,6.97761081302172,0.67541009916176,1
6,40,0.588849658582637,5.18121300652249,0.656481873457765,1
7,40,0.567526054018377,5.4227614445642,0.676324643837657,1
8,40,0.587143988521989,5.75150149471952,0.669520164705791,0.999999622845622
9,40,0.565933814745829,7.31558729308086,0.687104342368116,0.999998417444439
10,40,0.574465881724365,4.80573375434546,0.677923517844716,1
1,41,0.517174696085755,6.19458573837474,0.72135949953135,1
2,41,0.536083848760935,8.45727121623031,0.714246280187409,0.99999999159264
3,41,0.544591058450631,5.76073792630422,0.699485968855571,0.999999999999992
4,41,0.540152682416328,4.57951171711584,0.701997032834858,1
5,41,0.547340875880092,3.55139417882458,0.693928585496968,1
6,41,0.534038436671787,8.29407406104851,0.71791792217645,0.999999999820134
7,41,0.544621480770564,5.22269860618453,0.704741419918708,0.999999999999783
8,41,0.545885083625068,11.435165744722,0.704554956660123,0.999999988756875
9,41,0.562040190619065,7.03114505296482,0.68438993575639,0.999999972987024
10,41,0.569025842296818,4.88013431106008,0.673166090342057,1
1,42,0.481605711957052,5.97168188748359,0.762402068917935,1
2,42,0.483259254569316,7.3389127991948,0.761237532082877,1
3,42,0.482110152351662,10.7786171981118,0.773302025876798,0.998454840805184
4,42,0.49002436654069,6.46853525075199,0.764571390504052,0.999999999999703
5,42,0.510398634724861,7.53024412499664,0.738145038407452,0.999999980013599
6,42,0.513340489255375,7.72050469366122,0.733720925408302,0.999999999999995
7,42,0.488808510565905,6.28306526813838,0.760055289497415,1
8,42,0.478795086767401,5.79732647242372,0.765278182391072,0.97202304486848
9,42,0.511136114001726,5.66728647609999,0.734393592613252,1
