id,A1_SAEM,tau1_SAEM,A2_SAEM,p_SAEM,A1_mean,tau1_mean,A2_mean,p_mean,A1_mode,tau1_mode,A2_mode,p_mode,A1_sd,tau1_sd,A2_sd,p_sd
79,0.671481,6.84158,0.603776,0.964907,0.680449,6.58172,0.597295,0.972056,0.675399,6.36014,0.600186,1,0.0259466,1.43102,0.0160507,0.107815
80,0.695009,6.96729,0.589492,0.978043,0.688118,7.23118,0.595901,0.961274,0.702059,6.50943,0.583635,1,0.0558511,1.67043,0.0492498,0.157827
81,0.685039,6.54764,0.594144,0.991605,0.665979,6.58914,0.609575,0.915229,0.68369,6.2074,0.594755,1,0.0532362,1.59306,0.0436293,0.240249
82,0.69287,6.32573,0.588796,0.999678,0.675078,6.21159,0.602972,0.902057,0.69353,5.97199,0.588403,1,0.0516117,1.23672,0.0406803,0.277134
83,0.648723,7.03603,0.619138,0.8699,0.655852,7.24093,0.613949,0.998091,0.656911,6.65008,0.612671,1,0.0085184,1.56696,0.00685168,0.0134384
84,0.665006,6.15795,0.609865,0.949,0.668242,5.8723,0.605014,0.941499,0.675413,5.69112,0.599592,1,0.0334318,1.35086,0.026385,0.218183
85,0.713997,5.59448,0.579534,0.968005,0.727754,5.54168,0.567552,0.998776,0.72736,5.21053,0.567682,1,0.00829214,1.09587,0.00596804,0.00897465
86,0.521178,8.72826,0.72654,0.999352,0.519832,8.25599,0.727712,0.99924,0.519559,7.93876,0.727823,1,0.00852267,1.79153,0.00945693,0.00492254
87,0.736178,4.47522,0.56257,0.998832,0.736954,4.27918,0.561406,0.996458,0.73717,4.20456,0.561117,1,0.00835772,0.964484,0.00566153,0.0183377
88,0.649426,7.16057,0.61808,0.952934,0.640227,6.92409,0.625525,0.941944,0.646737,6.70599,0.619714,1,0.0334316,1.35326,0.0291588,0.175304
89,0.673706,6.63258,0.602866,0.94403,0.671208,6.59404,0.604403,0.879518,0.683554,6.12268,0.594769,1,0.0396482,1.37716,0.0301468,0.318156
90,0.555185,6.86169,0.692723,0.99789,0.555612,6.85866,0.691957,0.997457,0.555785,6.62704,0.691893,1,0.00817536,1.49344,0.00869971,0.0143542
91,0.741381,7.21739,0.561487,0.998985,0.708524,7.01714,0.589219,0.913306,0.741689,6.44936,0.560729,1,0.0951399,1.40939,0.0824638,0.240666
92,0.588809,7.50443,0.664349,0.993862,0.577837,7.63318,0.675013,0.968453,0.588128,7.21711,0.664492,1,0.034121,1.69419,0.0360224,0.0963089
