pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-2.79552,0.00505051,-3.50397,0.000631313,-2.96695,0.00505051,All
-2.75804,0.00521886,-3.49289,0.000652357,-2.95834,0.00521886,All
-2.72151,0.00538721,-3.49177,0.000673401,-2.95731,0.00538721,All
-2.71979,0.00555556,-3.49061,0.000694444,-2.92717,0.00555556,All
-2.71805,0.00572391,-3.4899,0.000715488,-2.89927,0.00572391,All
-2.7071,0.00589226,-3.48004,0.000736532,-2.89641,0.00589226,All
-2.70022,0.00606061,-3.47549,0.000757576,-2.87638,0.00606061,All
-2.67781,0.00622896,-3.46008,0.00077862,-2.87276,0.00622896,All
-2.65455,0.00639731,-3.44818,0.000799663,-2.8717,0.00639731,All
-2.64936,0.00656566,-3.44654,0.000820707,-2.87016,0.00656566,All
-2.63997,0.00673401,-3.44193,0.000841751,-2.85924,0.00673401,All
-2.63809,0.00690236,-3.43664,0.000862795,-2.83576,0.00690236,All
-2.63038,0.00707071,-3.4255,0.000883838,-2.82785,0.00707071,All
-2.62213,0.00723906,-3.41502,0.000904882,-2.81866,0.00723906,All
-2.61609,0.00740741,-3.40018,0.000925926,-2.81469,0.00740741,All
-2.6136,0.00757576,-3.39191,0.00094697,-2.81344,0.00757576,All
-2.61255,0.00774411,-3.38366,0.000968013,-2.80009,0.00774411,All
-2.61139,0.00791246,-3.37823,0.000989057,-2.79695,0.00791246,All
-2.6046,0.00808081,-3.37666,0.0010101,-2.78027,0.00808081,All
-2.6015,0.00824916,-3.37384,0.00103114,-2.7619,0.00824916,All
-2.59414,0.00841751,-3.36935,0.00105219,-2.75299,0.00841751,All
-2.56761,0.00858586,-3.35752,0.00107323,-2.72454,0.00858586,All
-2.5566,0.00875421,-3.35688,0.00109428,-2.70742,0.00875421,All
-2.55078,0.00892256,-3.35301,0.00111532,-2.70193,0.00892256,All
-2.54548,0.00909091,-3.34803,0.00113636,-2.69702,0.00909091,All
-2.54481,0.00925926,-3.31362,0.00115741,-2.68957,0.00925926,All
-2.53607,0.00942761,-3.29816,0.00117845,-2.67782,0.00942761,All
-2.53334,0.00959596,-3.28992,0.00119949,-2.67643,0.00959596,All
-2.52757,0.00976431,-3.26007,0.00122054,-2.66877,0.00976431,All
-2.5242,0.00993266,-3.24469,0.00124158,-2.65128,0.00993266,All
-2.51978,0.010101,-3.23791,0.00126263,-2.64589,0.010101,All
-2.50805,0.0102694,-3.2324,0.00128367,-2.64326,0.0102694,All
-2.49809,0.0104377,-3.20057,0.00130471,-2.63816,0.0104377,All
-2.49196,0.0106061,-3.19329,0.00132576,-2.63417,0.0106061,All
-2.49154,0.0107744,-3.18516,0.0013468,-2.62441,0.0107744,All
-2.48813,0.0109428,-3.17928,0.00136785,-2.62114,0.0109428,All
-2.48182,0.0111111,-3.17837,0.00138889,-2.61768,0.0111111,All
-2.46662,0.0112795,-3.17744,0.00140993,-2.60532,0.0112795,All
-2.45599,0.0114478,-3.17354,0.00143098,-2.58126,0.0114478,All
-2.45101,0.0116162,-3.17095,0.00145202,-2.57874,0.0116162,All
-2.44085,0.0117845,-3.16056,0.00147306,-2.57576,0.0117845,All
-2.43305,0.0119529,-3.15833,0.00149411,-2.56459,0.0119529,All
-2.40935,0.0121212,-3.15596,0.00151515,-2.56159,0.0121212,All
-2.40597,0.0122896,-3.15134,0.0015362,-2.56138,0.0122896,All
-2.40391,0.0124579,-3.13716,0.00155724,-2.55908,0.0124579,All
-2.40337,0.0126263,-3.11984,0.00157828,-2.54425,0.0126263,All
-2.39424,0.0127946,-3.11779,0.00159933,-2.54349,0.0127946,All
-2.37107,0.012963,-3.11688,0.00162037,-2.53833,0.012963,All
-2.37004,0.0131313,-3.11596,0.00164141,-2.53449,0.0131313,All
-2.36686,0.0132997,-3.11096,0.00166246,-2.53085,0.0132997,All
-2.36139,0.013468,-3.10488,0.0016835,-2.5245,0.013468,All
-2.35957,0.0136364,-3.09203,0.00170455,-2.50276,0.0136364,All
-2.35176,0.0138047,-3.09018,0.00172559,-2.49249,0.0138047,All
-2.34724,0.0139731,-3.08739,0.00174663,-2.47906,0.0139731,All
-2.34317,0.0141414,-3.0871,0.00176768,-2.46694,0.0141414,All
-2.3398,0.0143098,-3.08413,0.00178872,-2.46544,0.0143098,All
-2.33314,0.0144781,-3.08014,0.00180976,-2.46393,0.0144781,All
-2.33172,0.0146465,-3.07207,0.00183081,-2.46384,0.0146465,All
-2.32221,0.0148148,-3.05945,0.00185185,-2.45854,0.0148148,All
-2.31451,0.0149832,-3.05809,0.0018729,-2.45732,0.0149832,All
-2.31288,0.0151515,-3.05688,0.00189394,-2.45421,0.0151515,All
-2.30672,0.0153199,-3.05518,0.00191498,-2.44729,0.0153199,All
-2.30667,0.0154882,-3.05492,0.00193603,-2.43718,0.0154882,All
-2.30624,0.0156566,-3.05067,0.00195707,-2.43466,0.0156566,All
-2.3053,0.0158249,-3.03951,0.00197811,-2.42708,0.0158249,All
-2.29911,0.0159933,-3.0382,0.00199916,-2.42319,0.0159933,All
-2.29482,0.0161616,-3.03749,0.0020202,-2.40845,0.0161616,All
-2.29368,0.01633,-3.03355,0.00204125,-2.40509,0.01633,All
-2.28307,0.0164983,-3.03138,0.00206229,-2.40412,0.0164983,All
-2.28147,0.0166667,-3.02983,0.00208333,-2.40119,0.0166667,All
-2.27544,0.016835,-3.02868,0.00210438,-2.4002,0.016835,All
-2.27101,0.0170034,-3.02374,0.00212542,-2.39488,0.0170034,All
-2.2643,0.0171717,-3.01538,0.00214646,-2.39148,0.0171717,All
-2.2585,0.0173401,-3.01483,0.00216751,-2.38772,0.0173401,All
-2.25615,0.0175084,-3.01161,0.00218855,-2.38653,0.0175084,All
-2.25484,0.0176768,-3.01125,0.0022096,-2.36988,0.0176768,All
-2.25379,0.0178451,-3.0103,0.00223064,-2.35995,0.0178451,All
-2.2478,0.0180135,-3.0067,0.00225168,-2.35765,0.0180135,All
-2.2427,0.0181818,-3.00217,0.00227273,-2.35757,0.0181818,All
-2.24057,0.0183502,-3.00087,0.00229377,-2.34752,0.0183502,All
-2.23317,0.0185185,-2.98521,0.00231481,-2.34262,0.0185185,All
-2.23211,0.0186869,-2.98406,0.00233586,-2.32236,0.0186869,All
-2.23036,0.0188552,-2.9819,0.0023569,-2.31529,0.0188552,All
-2.22965,0.0190236,-2.98,0.00237795,-2.315,0.0190236,All
-2.21386,0.0191919,-2.97708,0.00239899,-2.29816,0.0191919,All
-2.19981,0.0193603,-2.97593,0.00242003,-2.26957,0.0193603,All
-2.19841,0.0195286,-2.9662,0.00244108,-2.26683,0.0195286,All
-2.19706,0.019697,-2.9462,0.00246212,-2.26137,0.019697,All
-2.193,0.0198653,-2.93538,0.00248316,-2.25587,0.0198653,All
-2.18698,0.0200337,-2.93055,0.00250421,-2.2303,0.0200337,All
-2.18647,0.020202,-2.92725,0.00252525,-2.2284,0.020202,All
-2.18145,0.0203704,-2.92668,0.0025463,-2.22162,0.0203704,All
-2.16651,0.0205387,-2.9119,0.00256734,-2.22018,0.0205387,All
-2.1589,0.0207071,-2.91088,0.00258838,-2.21995,0.0207071,All
-2.14045,0.0208754,-2.90959,0.00260943,-2.2155,0.0208754,All
-2.13073,0.0210438,-2.90938,0.00263047,-2.21532,0.0210438,All
-2.12893,0.0212121,-2.90924,0.00265152,-2.20856,0.0212121,All
-2.10394,0.0213805,-2.89757,0.00267256,-2.20406,0.0213805,All
-2.10364,0.0215488,-2.89743,0.0026936,-2.20085,0.0215488,All
-2.10221,0.0217172,-2.89689,0.00271465,-2.1911,0.0217172,All
-2.10027,0.0218855,-2.89618,0.00273569,-2.18652,0.0218855,All
-2.09991,0.0220539,-2.89601,0.00275673,-2.18443,0.0220539,All
-2.09817,0.0222222,-2.89502,0.00277778,-2.18371,0.0222222,All
-2.09305,0.0223906,-2.8805,0.00279882,-2.18029,0.0223906,All
-2.08805,0.0225589,-2.87791,0.00281987,-2.17559,0.0225589,All
-2.08469,0.0227273,-2.87771,0.00284091,-2.17493,0.0227273,All
-2.07926,0.0228956,-2.87221,0.00286195,-2.15987,0.0228956,All
-2.07148,0.023064,-2.86768,0.002883,-2.15432,0.023064,All
-2.07004,0.0232323,-2.86728,0.00290404,-2.15345,0.0232323,All
-2.06895,0.0234007,-2.86634,0.00292508,-2.15203,0.0234007,All
-2.06717,0.023569,-2.8645,0.00294613,-2.15094,0.023569,All
-2.05314,0.0237374,-2.85915,0.00296717,-2.14843,0.0237374,All
-2.0522,0.0239057,-2.85898,0.00298822,-2.14626,0.0239057,All
-2.05091,0.0240741,-2.85611,0.00300926,-2.14455,0.0240741,All
-2.04865,0.0242424,-2.84636,0.0030303,-2.13848,0.0242424,All
-2.04001,0.0244108,-2.84259,0.00305135,-2.13699,0.0244108,All
-2.03856,0.0245791,-2.84144,0.00307239,-2.13664,0.0245791,All
-2.03616,0.0247475,-2.83936,0.00309343,-2.11896,0.0247475,All
-2.03494,0.0249158,-2.8393,0.00311448,-2.10918,0.0249158,All
-2.03158,0.0250842,-2.83841,0.00313552,-2.09654,0.0250842,All
-2.02334,0.0252525,-2.83685,0.00315657,-2.0909,0.0252525,All
-2.0217,0.0254209,-2.832,0.00317761,-2.08503,0.0254209,All
-2.01979,0.0255892,-2.82021,0.00319865,-2.08353,0.0255892,All
-2.01529,0.0257576,-2.81571,0.0032197,-2.0798,0.0257576,All
-2.01496,0.0259259,-2.81558,0.00324074,-2.06596,0.0259259,All
-2.01436,0.0260943,-2.8054,0.00326178,-2.06586,0.0260943,All
-1.99715,0.0262626,-2.8049,0.00328283,-2.064,0.0262626,All
-1.99308,0.026431,-2.80108,0.00330387,-2.06311,0.026431,All
-1.99127,0.0265993,-2.80011,0.00332492,-2.06262,0.0265993,All
-1.98972,0.0267677,-2.79886,0.00334596,-2.05021,0.0267677,All
-1.98477,0.026936,-2.79276,0.003367,-2.04187,0.026936,All
-1.98362,0.0271044,-2.78947,0.00338805,-2.03972,0.0271044,All
-1.97342,0.0272727,-2.78741,0.00340909,-2.03761,0.0272727,All
-1.96987,0.0274411,-2.7856,0.00343013,-2.03478,0.0274411,All
-1.9672,0.0276094,-2.78453,0.00345118,-2.02905,0.0276094,All
-1.94539,0.0277778,-2.78357,0.00347222,-2.02192,0.0277778,All
-1.94383,0.0279461,-2.77632,0.00349327,-2.01145,0.0279461,All
-1.93336,0.0281145,-2.77604,0.00351431,-2.00482,0.0281145,All
-1.93278,0.0282828,-2.7735,0.00353535,-1.99407,0.0282828,All
-1.92513,0.0284512,-2.77321,0.0035564,-1.99036,0.0284512,All
-1.92495,0.0286195,-2.77191,0.00357744,-1.98678,0.0286195,All
-1.92251,0.0287879,-2.77107,0.00359848,-1.98331,0.0287879,All
-1.91562,0.0289562,-2.7673,0.00361953,-1.98284,0.0289562,All
-1.915,0.0291246,-2.76276,0.00364057,-1.98264,0.0291246,All
-1.91256,0.0292929,-2.76143,0.00366162,-1.97447,0.0292929,All
-1.91244,0.0294613,-2.75853,0.00368266,-1.97278,0.0294613,All
-1.91145,0.0296296,-2.75466,0.0037037,-1.97251,0.0296296,All
-1.90929,0.029798,-2.7479,0.00372475,-1.97116,0.029798,All
-1.90689,0.0299663,-2.74712,0.00374579,-1.96902,0.0299663,All
-1.90525,0.0301347,-2.74624,0.00376684,-1.96222,0.0301347,All
-1.90238,0.030303,-2.74421,0.00378788,-1.961,0.030303,All
-1.90068,0.0304714,-2.74377,0.00380892,-1.95205,0.0304714,All
-1.89877,0.0306397,-2.74256,0.00382997,-1.94867,0.0306397,All
-1.8925,0.0308081,-2.74241,0.00385101,-1.94228,0.0308081,All
-1.88825,0.0309764,-2.74224,0.00387205,-1.94057,0.0309764,All
-1.88512,0.0311448,-2.72467,0.0038931,-1.93828,0.0311448,All
-1.88218,0.0313131,-2.72092,0.00391414,-1.93808,0.0313131,All
-1.88001,0.0314815,-2.72061,0.00393519,-1.93708,0.0314815,All
-1.87492,0.0316498,-2.71993,0.00395623,-1.93648,0.0316498,All
-1.87421,0.0318182,-2.71945,0.00397727,-1.93291,0.0318182,All
-1.8719,0.0319865,-2.71772,0.00399832,-1.92044,0.0319865,All
-1.87016,0.0321549,-2.71659,0.00401936,-1.92021,0.0321549,All
-1.86612,0.0323232,-2.71636,0.0040404,-1.91406,0.0323232,All
-1.86508,0.0324916,-2.71327,0.00406145,-1.91049,0.0324916,All
-1.86392,0.0326599,-2.71319,0.00408249,-1.90528,0.0326599,All
-1.86113,0.0328283,-2.7089,0.00410354,-1.90361,0.0328283,All
-1.85874,0.0329966,-2.70876,0.00412458,-1.90233,0.0329966,All
-1.8584,0.033165,-2.69929,0.00414562,-1.90208,0.033165,All
-1.85481,0.0333333,-2.69541,0.00416667,-1.90195,0.0333333,All
-1.85222,0.0335017,-2.68952,0.00418771,-1.89568,0.0335017,All
-1.84861,0.03367,-2.68943,0.00420875,-1.88459,0.03367,All
-1.84826,0.0338384,-2.6881,0.0042298,-1.88457,0.0338384,All
-1.84774,0.0340067,-2.68695,0.00425084,-1.88415,0.0340067,All
-1.84211,0.0341751,-2.67994,0.00427189,-1.88356,0.0341751,All
-1.84035,0.0343434,-2.67961,0.00429293,-1.88221,0.0343434,All
-1.83532,0.0345118,-2.67749,0.00431397,-1.87934,0.0345118,All
-1.83453,0.0346801,-2.67455,0.00433502,-1.87407,0.0346801,All
-1.8343,0.0348485,-2.67436,0.00435606,-1.87314,0.0348485,All
-1.82936,0.0350168,-2.67312,0.0043771,-1.87072,0.0350168,All
-1.82411,0.0351852,-2.67003,0.00439815,-1.87003,0.0351852,All
-1.82266,0.0353535,-2.66661,0.00441919,-1.86922,0.0353535,All
-1.81996,0.0355219,-2.66527,0.00444024,-1.86888,0.0355219,All
-1.81925,0.0356902,-2.6652,0.00446128,-1.86399,0.0356902,All
-1.81912,0.0358586,-2.66253,0.00448232,-1.8626,0.0358586,All
-1.81843,0.0360269,-2.66248,0.00450337,-1.85942,0.0360269,All
-1.81323,0.0361953,-2.65326,0.00452441,-1.85857,0.0361953,All
-1.81292,0.0363636,-2.64834,0.00454545,-1.85431,0.0363636,All
-1.81239,0.036532,-2.64714,0.0045665,-1.85351,0.036532,All
-1.81177,0.0367003,-2.64457,0.00458754,-1.85331,0.0367003,All
-1.81076,0.0368687,-2.64444,0.00460859,-1.85273,0.0368687,All
-1.81013,0.037037,-2.64357,0.00462963,-1.84826,0.037037,All
-1.80936,0.0372054,-2.6423,0.00465067,-1.84692,0.0372054,All
-1.80429,0.0373737,-2.63827,0.00467172,-1.84637,0.0373737,All
-1.80337,0.0375421,-2.63619,0.00469276,-1.84503,0.0375421,All
-1.79209,0.0377104,-2.63576,0.0047138,-1.84262,0.0377104,All
-1.79135,0.0378788,-2.63441,0.00473485,-1.83316,0.0378788,All
-1.78918,0.0380471,-2.6338,0.00475589,-1.83286,0.0380471,All
-1.78732,0.0382155,-2.63313,0.00477694,-1.8304,0.0382155,All
-1.78336,0.0383838,-2.6304,0.00479798,-1.82808,0.0383838,All
-1.78288,0.0385522,-2.62979,0.00481902,-1.82508,0.0385522,All
-1.77948,0.0387205,-2.62945,0.00484007,-1.82352,0.0387205,All
-1.77943,0.0388889,-2.62325,0.00486111,-1.81879,0.0388889,All
-1.77834,0.0390572,-2.62149,0.00488215,-1.81532,0.0390572,All
-1.77691,0.0392256,-2.61959,0.0049032,-1.81269,0.0392256,All
-1.77423,0.0393939,-2.61912,0.00492424,-1.81236,0.0393939,All
-1.77162,0.0395623,-2.61883,0.00494529,-1.80675,0.0395623,All
-1.77105,0.0397306,-2.61668,0.00496633,-1.8026,0.0397306,All
-1.75995,0.039899,-2.61576,0.00498737,-1.80252,0.039899,All
-1.759,0.0400673,-2.61561,0.00500842,-1.79607,0.0400673,All
-1.75278,0.0402357,-2.61513,0.00502946,-1.79313,0.0402357,All
-1.74904,0.040404,-2.61508,0.00505051,-1.79034,0.040404,All
-1.74756,0.0405724,-2.61352,0.00507155,-1.7897,0.0405724,All
-1.74712,0.0407407,-2.60779,0.00509259,-1.78885,0.0407407,All
-1.74609,0.0409091,-2.60765,0.00511364,-1.78792,0.0409091,All
-1.74326,0.0410774,-2.60659,0.00513468,-1.78563,0.0410774,All
-1.74236,0.0412458,-2.60511,0.00515572,-1.78408,0.0412458,All
-1.7421,0.0414141,-2.60478,0.00517677,-1.78333,0.0414141,All
-1.74082,0.0415825,-2.60058,0.00519781,-1.77989,0.0415825,All
-1.74057,0.0417508,-2.59995,0.00521886,-1.77968,0.0417508,All
-1.73523,0.0419192,-2.59899,0.0052399,-1.77822,0.0419192,All
-1.73465,0.0420875,-2.59872,0.00526094,-1.76906,0.0420875,All
-1.73111,0.0422559,-2.59805,0.00528199,-1.76531,0.0422559,All
-1.72946,0.0424242,-2.59698,0.00530303,-1.76089,0.0424242,All
-1.72804,0.0425926,-2.5969,0.00532407,-1.75911,0.0425926,All
-1.72292,0.0427609,-2.5942,0.00534512,-1.75865,0.0427609,All
-1.72209,0.0429293,-2.58982,0.00536616,-1.75481,0.0429293,All
-1.72162,0.0430976,-2.58975,0.00538721,-1.75391,0.0430976,All
-1.71701,0.043266,-2.58884,0.00540825,-1.75232,0.043266,All
-1.71523,0.0434343,-2.58512,0.00542929,-1.75056,0.0434343,All
-1.70703,0.0436027,-2.58463,0.00545034,-1.74808,0.0436027,All
-1.70685,0.043771,-2.58431,0.00547138,-1.74393,0.043771,All
-1.70672,0.0439394,-2.58403,0.00549242,-1.74375,0.0439394,All
-1.70612,0.0441077,-2.58311,0.00551347,-1.74103,0.0441077,All
-1.70458,0.0442761,-2.58308,0.00553451,-1.74087,0.0442761,All
-1.70274,0.0444444,-2.58297,0.00555556,-1.73992,0.0444444,All
-1.70168,0.0446128,-2.57843,0.0055766,-1.73945,0.0446128,All
-1.69935,0.0447811,-2.57549,0.00559764,-1.73887,0.0447811,All
-1.69574,0.0449495,-2.57499,0.00561869,-1.73378,0.0449495,All
-1.69536,0.0451178,-2.57454,0.00563973,-1.72917,0.0451178,All
-1.69493,0.0452862,-2.57434,0.00566077,-1.72803,0.0452862,All
-1.69424,0.0454545,-2.57418,0.00568182,-1.72789,0.0454545,All
-1.69358,0.0456229,-2.57216,0.00570286,-1.71777,0.0456229,All
-1.69215,0.0457912,-2.57018,0.00572391,-1.71751,0.0457912,All
-1.69213,0.0459596,-2.57001,0.00574495,-1.70202,0.0459596,All
-1.69089,0.0461279,-2.56767,0.00576599,-1.70129,0.0461279,All
-1.68927,0.0462963,-2.56213,0.00578704,-1.69707,0.0462963,All
-1.68852,0.0464646,-2.56061,0.00580808,-1.69155,0.0464646,All
-1.68469,0.046633,-2.5605,0.00582912,-1.69008,0.046633,All
-1.68364,0.0468013,-2.55922,0.00585017,-1.68896,0.0468013,All
-1.68343,0.0469697,-2.55807,0.00587121,-1.68779,0.0469697,All
-1.68017,0.047138,-2.55431,0.00589226,-1.68753,0.047138,All
-1.67835,0.0473064,-2.55335,0.0059133,-1.68723,0.0473064,All
-1.67785,0.0474747,-2.55219,0.00593434,-1.68701,0.0474747,All
-1.67295,0.0476431,-2.55134,0.00595539,-1.68615,0.0476431,All
-1.66794,0.0478114,-2.54928,0.00597643,-1.68586,0.0478114,All
-1.66547,0.0479798,-2.54611,0.00599747,-1.68297,0.0479798,All
-1.65972,0.0481481,-2.54523,0.00601852,-1.68218,0.0481481,All
-1.65813,0.0483165,-2.54519,0.00603956,-1.67921,0.0483165,All
-1.65791,0.0484848,-2.54242,0.00606061,-1.67919,0.0484848,All
-1.65555,0.0486532,-2.54147,0.00608165,-1.67902,0.0486532,All
-1.65182,0.0488215,-2.54111,0.00610269,-1.67809,0.0488215,All
-1.65134,0.0489899,-2.53658,0.00612374,-1.67782,0.0489899,All
-1.64809,0.0491582,-2.53414,0.00614478,-1.67554,0.0491582,All
-1.64679,0.0493266,-2.53299,0.00616582,-1.67274,0.0493266,All
-1.64535,0.0494949,-2.53121,0.00618687,-1.66981,0.0494949,All
-1.64495,0.0496633,-2.53054,0.00620791,-1.6678,0.0496633,All
-1.64472,0.0498316,-2.52978,0.00622896,-1.6662,0.0498316,All
-1.64442,0.05,-2.52897,0.00625,-1.66298,0.05,All
-1.64134,0.0501684,-2.52814,0.00627104,-1.66229,0.0501684,All
-1.64096,0.0503367,-2.52787,0.00629209,-1.65944,0.0503367,All
-1.63816,0.0505051,-2.52772,0.00631313,-1.65869,0.0505051,All
-1.63742,0.0506734,-2.52721,0.00633418,-1.65693,0.0506734,All
-1.63727,0.0508418,-2.52587,0.00635522,-1.6556,0.0508418,All
-1.63668,0.0510101,-2.52566,0.00637626,-1.65451,0.0510101,All
-1.63278,0.0511785,-2.52454,0.00639731,-1.65354,0.0511785,All
-1.63273,0.0513468,-2.52375,0.00641835,-1.65134,0.0513468,All
-1.63071,0.0515152,-2.52342,0.00643939,-1.64787,0.0515152,All
-1.62951,0.0516835,-2.52299,0.00646044,-1.64562,0.0516835,All
-1.62916,0.0518519,-2.52204,0.00648148,-1.64018,0.0518519,All
-1.62349,0.0520202,-2.52015,0.00650253,-1.63701,0.0520202,All
-1.62147,0.0521886,-2.51929,0.00652357,-1.63648,0.0521886,All
-1.6164,0.0523569,-2.519,0.00654461,-1.63535,0.0523569,All
-1.61334,0.0525253,-2.51795,0.00656566,-1.63448,0.0525253,All
-1.61304,0.0526936,-2.51462,0.0065867,-1.63311,0.0526936,All
-1.61202,0.052862,-2.5136,0.00660774,-1.62746,0.052862,All
-1.60975,0.0530303,-2.51245,0.00662879,-1.62634,0.0530303,All
-1.6095,0.0531987,-2.51007,0.00664983,-1.62556,0.0531987,All
-1.60765,0.053367,-2.50939,0.00667088,-1.62503,0.053367,All
-1.60436,0.0535354,-2.50799,0.00669192,-1.62139,0.0535354,All
-1.60385,0.0537037,-2.5068,0.00671296,-1.62028,0.0537037,All
-1.60352,0.0538721,-2.50352,0.00673401,-1.62022,0.0538721,All
-1.5994,0.0540404,-2.50264,0.00675505,-1.61951,0.0540404,All
-1.59845,0.0542088,-2.49795,0.00677609,-1.61947,0.0542088,All
-1.59574,0.0543771,-2.49762,0.00679714,-1.61599,0.0543771,All
-1.59499,0.0545455,-2.49757,0.00681818,-1.61533,0.0545455,All
-1.59291,0.0547138,-2.4974,0.00683923,-1.60874,0.0547138,All
-1.5903,0.0548822,-2.49563,0.00686027,-1.60862,0.0548822,All
-1.58774,0.0550505,-2.4951,0.00688131,-1.60795,0.0550505,All
-1.58732,0.0552189,-2.49076,0.00690236,-1.60766,0.0552189,All
-1.58381,0.0553872,-2.49062,0.0069234,-1.60535,0.0553872,All
-1.58285,0.0555556,-2.49053,0.00694444,-1.59775,0.0555556,All
-1.58113,0.0557239,-2.48968,0.00696549,-1.59705,0.0557239,All
-1.58092,0.0558923,-2.4891,0.00698653,-1.59637,0.0558923,All
-1.58063,0.0560606,-2.48706,0.00700758,-1.59537,0.0560606,All
-1.57645,0.056229,-2.48545,0.00702862,-1.59456,0.056229,All
-1.57307,0.0563973,-2.48518,0.00704966,-1.59432,0.0563973,All
-1.573,0.0565657,-2.48321,0.00707071,-1.5928,0.0565657,All
-1.57171,0.056734,-2.48264,0.00709175,-1.59053,0.056734,All
-1.56968,0.0569024,-2.48208,0.00711279,-1.59046,0.0569024,All
-1.56951,0.0570707,-2.47914,0.00713384,-1.58996,0.0570707,All
-1.56342,0.0572391,-2.47879,0.00715488,-1.58964,0.0572391,All
-1.56251,0.0574074,-2.4774,0.00717593,-1.58922,0.0574074,All
-1.56118,0.0575758,-2.47632,0.00719697,-1.58802,0.0575758,All
-1.56068,0.0577441,-2.476,0.00721801,-1.57955,0.0577441,All
-1.55786,0.0579125,-2.47504,0.00723906,-1.57944,0.0579125,All
-1.5567,0.0580808,-2.47458,0.0072601,-1.57928,0.0580808,All
-1.55553,0.0582492,-2.47416,0.00728114,-1.57739,0.0582492,All
-1.55117,0.0584175,-2.47147,0.00730219,-1.57586,0.0584175,All
-1.54933,0.0585859,-2.46807,0.00732323,-1.57581,0.0585859,All
-1.54913,0.0587542,-2.46696,0.00734428,-1.57503,0.0587542,All
-1.54609,0.0589226,-2.46637,0.00736532,-1.57371,0.0589226,All
-1.54557,0.0590909,-2.46511,0.00738636,-1.57351,0.0590909,All
-1.54344,0.0592593,-2.46231,0.00740741,-1.57131,0.0592593,All
-1.54147,0.0594276,-2.4603,0.00742845,-1.56952,0.0594276,All
-1.54088,0.059596,-2.45964,0.00744949,-1.56902,0.059596,All
-1.53896,0.0597643,-2.45921,0.00747054,-1.568,0.0597643,All
-1.53778,0.0599327,-2.459,0.00749158,-1.56692,0.0599327,All
-1.53761,0.060101,-2.45756,0.00751263,-1.56577,0.060101,All
-1.53355,0.0602694,-2.45629,0.00753367,-1.56083,0.0602694,All
-1.53077,0.0604377,-2.45521,0.00755471,-1.5587,0.0604377,All
-1.52995,0.0606061,-2.45465,0.00757576,-1.55809,0.0606061,All
-1.52864,0.0607744,-2.45297,0.0075968,-1.55526,0.0607744,All
-1.52774,0.0609428,-2.45276,0.00761785,-1.55523,0.0609428,All
-1.52722,0.0611111,-2.44833,0.00763889,-1.55417,0.0611111,All
-1.52506,0.0612795,-2.4453,0.00765993,-1.55302,0.0612795,All
-1.52267,0.0614478,-2.44484,0.00768098,-1.55175,0.0614478,All
-1.52237,0.0616162,-2.44376,0.00770202,-1.54852,0.0616162,All
-1.52086,0.0617845,-2.44246,0.00772306,-1.54827,0.0617845,All
