rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_A2_simulated,eta_tau2_simulated,eta_I0_simulated,split,color,filter
8,5,-0.0946413,0.797048,0.0466677,1.33479,-2.61442,All,#4682B4,0
9,5,-0.190686,0.938507,-0.434763,2.55247,-1.86894,All,#4682B4,0
10,5,-0.100656,0.8036,0.00815595,1.56239,-2.2808,All,#4682B4,0
1,6,1.64606,0.451696,0.506555,-0.620937,-0.958194,All,#4682B4,0
2,6,-0.974206,-0.00239786,-1.264,1.61819,0.0821455,All,#4682B4,0
3,6,-2.2579,0.440761,-1.20131,-0.279594,-0.546411,All,#4682B4,0
4,6,-0.335226,-0.811648,-0.301959,-0.272918,-0.994542,All,#4682B4,0
5,6,-0.195065,3.30037,0.746601,-1.2093,0.0426232,All,#4682B4,0
6,6,0.980811,1.00685,1.17313,0.412277,-0.205422,All,#4682B4,0
7,6,1.46233,0.758794,-0.662047,-0.181794,-0.26987,All,#4682B4,0
8,6,0.165373,-1.67686,0.0125182,1.16212,-0.708344,All,#4682B4,0
9,6,-0.368162,0.461549,-0.867071,-0.0575371,-0.307217,All,#4682B4,0
10,6,-0.0356767,0.74582,1.61333,0.176372,-0.246262,All,#4682B4,0
1,7,0.754859,-0.484592,3.04384,1.97076,0.138154,All,#4682B4,0
2,7,-0.1748,0.629465,-0.637012,0.69982,0.164624,All,#4682B4,0
3,7,-1.08833,-0.0458117,-1.25216,0.930364,0.0619555,All,#4682B4,0
4,7,1.78139,0.691444,-1.56997,1.51833,0.453877,All,#4682B4,0
5,7,-0.290625,-0.190107,0.146244,1.4189,0.421403,All,#4682B4,0
6,7,-0.143266,1.73041,0.188512,0.956077,0.768158,All,#4682B4,0
7,7,1.59797,0.711989,1.00348,0.149088,-0.0831749,All,#4682B4,0
8,7,-0.352531,0.0813298,0.171295,-0.396318,-0.612199,All,#4682B4,0
9,7,0.323113,0.418983,0.503654,1.08834,0.349258,All,#4682B4,0
10,7,1.02316,0.991571,0.765396,0.0699908,0.0271356,All,#4682B4,0
1,8,0.415011,-0.401839,-0.861095,-0.747691,0.357388,All,#4682B4,0
2,8,0.575453,-0.17163,0.240038,-0.457767,0.470738,All,#4682B4,0
3,8,-0.141374,-0.48873,-0.962876,-0.174382,0.318013,All,#4682B4,0
4,8,0.670586,2.42039,-1.02289,-1.48566,0.709981,All,#4682B4,0
5,8,0.40642,0.504685,0.598585,0.502594,1.1941,All,#4682B4,0
6,8,0.983729,2.99848,-0.416113,-0.476502,1.21197,All,#4682B4,0
7,8,0.93154,0.403084,-0.472725,-0.566047,0.835079,All,#4682B4,0
8,8,0.464327,1.11199,-0.466136,0.926221,1.3063,All,#4682B4,0
9,8,1.00767,1.56206,-0.361547,-1.69548,0.362123,All,#4682B4,0
10,8,1.57944,0.481204,-0.601193,-1.3366,0.284423,All,#4682B4,0
1,9,-1.0657,0.963237,-1.31103,0.463706,1.55072,All,#4682B4,0
2,9,-1.05427,0.574162,0.944738,0.533553,1.53881,All,#4682B4,0
3,9,-0.979142,-1.4382,-1.27213,-0.311461,0.485876,All,#4682B4,0
4,9,-1.15771,0.914695,-2.36585,-0.376759,1.54918,All,#4682B4,0
5,9,0.621363,1.99485,-0.130185,-0.0274538,1.48579,All,#4682B4,0
6,9,0.0351853,0.376755,-0.672882,-0.3775,1.00558,All,#4682B4,0
7,9,-1.48457,-0.590311,-1.22077,0.732602,1.15236,All,#4682B4,0
8,9,3.34056,1.14445,-0.632316,0.993409,1.62899,All,#4682B4,0
9,9,0.811522,0.850587,0.211217,0.316213,1.48386,All,#4682B4,0
10,9,-0.272339,-0.70221,0.178881,1.01081,1.06497,All,#4682B4,0
1,10,-0.583612,0.612572,-0.775345,0.907874,0.0308165,All,#4682B4,0
2,10,-0.362658,-0.681067,-1.27428,-1.33356,-1.25976,All,#4682B4,0
3,10,0.812225,2.25122,-0.743605,-0.551111,0.297153,All,#4682B4,0
4,10,0.87913,0.610873,-1.03825,-0.504019,-0.374295,All,#4682B4,0
5,10,0.381441,0.481088,0.994165,1.92746,0.573476,All,#4682B4,0
6,10,-0.0527262,0.149319,-0.020899,-0.619735,-0.502608,All,#4682B4,0
7,10,-0.494115,0.449831,-0.963987,-0.332761,-0.0597713,All,#4682B4,0
8,10,-0.786578,-0.321028,-0.590368,0.133002,-0.417069,All,#4682B4,0
9,10,0.545413,2.30278,0.241288,-1.08512,-0.089529,All,#4682B4,0
10,10,0.206762,0.820025,-0.930135,0.0419664,0.170827,All,#4682B4,0
1,11,1.24817,-0.702379,0.300501,0.137143,-0.134169,All,#4682B4,0
2,11,0.423684,-0.413176,3.38447,-0.154266,-0.6627,All,#4682B4,0
3,11,0.429981,0.140379,-1.7213,-0.509563,-0.0139384,All,#4682B4,0
4,11,1.47796,0.675739,0.250408,-1.67707,-0.81082,All,#4682B4,0
5,11,3.21671,0.869462,0.932548,-0.478364,-0.143681,All,#4682B4,0
6,11,1.84518,1.10125,0.850946,-0.160365,0.378048,All,#4682B4,0
7,11,0.90494,0.300949,-0.150363,-0.56624,0.0461611,All,#4682B4,0
8,11,0.707384,0.289194,-0.105922,-1.09402,-0.458623,All,#4682B4,0
9,11,1.36702,0.146537,-0.181311,0.381771,0.248343,All,#4682B4,0
10,11,-0.174726,0.538696,-1.10673,-0.423205,0.0225014,All,#4682B4,0
1,12,-0.123869,-0.182977,0.152346,-0.582064,-0.532363,All,#4682B4,0
2,12,0.82831,0.908795,0.182275,0.989029,0.630616,All,#4682B4,0
3,12,-0.939267,-1.22687,-0.044296,1.4,0.0673726,All,#4682B4,0
4,12,0.0658359,0.77088,-3.27131,-0.36288,0.107784,All,#4682B4,0
5,12,-2.02844,-0.824536,0.757425,1.50844,0.101276,All,#4682B4,0
6,12,1.71595,-0.369571,-0.663259,0.151766,-0.40047,All,#4682B4,0
7,12,-0.808683,-1.14909,0.361589,0.173777,-0.179955,All,#4682B4,0
8,12,-0.136066,-1.25078,-0.729401,0.79358,-0.194244,All,#4682B4,0
9,12,1.00179,0.430157,0.138198,1.71496,0.557256,All,#4682B4,0
10,12,0.987182,1.06833,-0.616685,-0.868574,-0.0419741,All,#4682B4,0
1,13,1.96133,-0.354926,-0.668555,0.427372,0.846568,All,#4682B4,0
2,13,-0.0998165,0.80308,1.82787,-0.503292,0.89094,All,#4682B4,0
3,13,-0.875829,0.30657,-0.258269,-0.139293,1.13856,All,#4682B4,0
4,13,-1.3696,0.443694,1.74071,-0.99617,0.380662,All,#4682B4,0
5,13,0.790897,0.299195,-1.0803,-0.914353,0.275655,All,#4682B4,0
6,13,0.742508,0.389512,0.795361,-0.67036,0.630397,All,#4682B4,0
7,13,1.71397,-0.616806,-0.401287,-1.38367,-0.147434,All,#4682B4,0
8,13,-0.449898,-0.265523,-1.0169,-1.1529,0.330238,All,#4682B4,0
9,13,0.290491,-1.63269,1.99765,-0.947695,-0.649734,All,#4682B4,0
10,13,-0.625436,-0.585993,-2.02658,1.45877,1.23796,All,#4682B4,0
1,14,-0.301657,0.246827,0.623563,0.0621823,-1.21555,All,#4682B4,0
2,14,-0.447899,0.340767,-0.408305,1.35074,-0.65359,All,#4682B4,0
3,14,-1.27106,1.77869,0.404968,0.166039,-0.446982,All,#4682B4,0
4,14,-0.606688,0.729059,-0.801253,-0.367292,-1.11605,All,#4682B4,0
5,14,0.4257,1.57941,1.81491,-0.170772,-0.780008,All,#4682B4,0
6,14,-0.816833,-1.06221,-0.0110339,-0.0327039,-1.70517,All,#4682B4,0
7,14,-1.35848,1.0132,0.677898,-0.273291,-1.00676,All,#4682B4,0
8,14,0.587814,0.950253,0.00662838,0.356517,-0.756913,All,#4682B4,0
9,14,0.884436,-0.27557,-0.925982,1.32836,-0.61182,All,#4682B4,0
10,14,-1.56516,1.03812,-1.17352,0.071692,-0.871314,All,#4682B4,0
1,15,-0.20761,0.647414,0.34746,-0.935543,0.836433,All,#4682B4,0
2,15,-1.44937,0.533165,0.0842901,-0.588661,1.00782,All,#4682B4,0
3,15,-0.613557,0.126624,0.0402009,-0.911908,0.763601,All,#4682B4,0
4,15,-1.79621,0.675264,-1.08282,-0.178518,1.48448,All,#4682B4,0
5,15,-0.516432,-1.31376,-1.3071,-0.538194,0.330074,All,#4682B4,0
6,15,0.0381661,0.326046,0.443608,0.835994,1.35801,All,#4682B4,0
7,15,-2.41941,0.727473,-2.13355,2.03738,1.98191,All,#4682B4,0
8,15,-0.769246,-0.281865,2.35443,0.33722,1.04849,All,#4682B4,0
9,15,0.651458,-0.767302,0.912277,0.922738,1.21308,All,#4682B4,0
10,15,-0.0995238,0.299694,0.472893,0.0334525,1.18641,All,#4682B4,0
1,16,-0.357104,0.556648,-0.155545,-0.805295,1.73043,All,#4682B4,0
2,16,-1.04553,-1.42651,-1.75245,-0.994306,1.16475,All,#4682B4,0
3,16,-0.375531,-2.4236,1.13844,0.897126,1.24191,All,#4682B4,0
4,16,-0.017487,0.409707,-0.422222,-0.63155,1.86485,All,#4682B4,0
5,16,1.62489,-1.24833,-0.555624,-1.10191,0.894312,All,#4682B4,0
6,16,0.309272,-2.86033,0.0235818,1.30889,1.25578,All,#4682B4,0
7,16,-0.0763077,0.933257,1.32044,0.0666118,2.06489,All,#4682B4,0
8,16,-0.370854,-0.0555586,0.617528,-0.272551,2.11278,All,#4682B4,0
9,16,0.771676,-0.474482,0.0403738,0.506634,1.93095,All,#4682B4,0
10,16,-1.06206,-2.41444,-0.0631453,-1.31542,0.27976,All,#4682B4,0
1,17,-0.595809,-0.317775,1.25353,-0.331528,-0.312741,All,#4682B4,0
2,17,-0.36741,-0.125978,0.419777,0.894875,0.253304,All,#4682B4,0
3,17,-0.379108,-0.161654,-1.42635,-0.612729,-0.156141,All,#4682B4,0
4,17,0.658779,0.0553116,-3.82155,1.60683,1.01637,All,#4682B4,0
5,17,-0.37946,-0.35203,-0.637709,-0.416939,-0.316786,All,#4682B4,0
6,17,-1.27752,-1.24339,-0.495415,-0.574469,-0.505528,All,#4682B4,0
7,17,-0.119576,1.10075,0.80335,-0.174658,0.605826,All,#4682B4,0
8,17,-0.8144,0.771336,-1.99411,-0.953745,0.13178,All,#4682B4,0
9,17,1.15494,-0.987705,-1.1054,0.206375,-0.0797509,All,#4682B4,0
10,17,-0.805722,-1.03839,0.244871,-0.294358,-0.430756,All,#4682B4,0
1,18,0.00876908,-0.76346,0.127767,-0.911039,-0.893942,All,#4682B4,0
2,18,-1.6263,0.9305,1.27748,-1.92387,0.0884915,All,#4682B4,0
3,18,1.53261,1.46338,1.57361,1.99681,1.11547,All,#4682B4,0
4,18,-0.515893,-1.15545,-0.644394,0.50932,-0.0701693,All,#4682B4,0
5,18,0.867877,1.29794,-0.305249,-0.842165,0.338881,All,#4682B4,0
6,18,0.994975,1.01785,-0.308237,0.386995,0.574581,All,#4682B4,0
7,18,1.2476,-0.159675,2.57405,0.259117,0.200195,All,#4682B4,0
8,18,0.749314,-0.355801,0.677822,-0.0456396,-0.103781,All,#4682B4,0
9,18,0.242616,0.37054,-1.10255,-1.81663,-0.480069,All,#4682B4,0
10,18,-0.168962,0.0449921,-1.36861,-0.884439,0.00375942,All,#4682B4,0
1,19,1.0994,-1.16617,-1.35122,-1.72251,-0.281961,All,#4682B4,0
2,19,-0.914539,0.813804,-0.223905,0.125914,1.39234,All,#4682B4,0
3,19,2.19701,0.683118,-1.39662,-1.93812,0.271719,All,#4682B4,0
4,19,0.207901,-0.962521,-1.35829,-2.02414,-0.464363,All,#4682B4,0
5,19,-0.157123,0.240925,1.12256,-1.14517,0.424275,All,#4682B4,0
6,19,0.0386597,-1.01643,1.19427,-1.38912,-0.446388,All,#4682B4,0
7,19,-1.13512,-0.37137,0.366099,-2.61267,-0.44063,All,#4682B4,0
8,19,1.54717,0.513408,0.217948,-1.20674,0.599877,All,#4682B4,0
9,19,-0.950621,-0.556908,1.86848,-1.8692,-0.302428,All,#4682B4,0
10,19,0.0343904,-0.933256,0.892045,-1.89581,-0.384298,All,#4682B4,0
1,20,-1.89174,0.365024,-0.187739,-0.451571,0.0833806,All,#4682B4,0
2,20,-0.543416,-0.383098,1.33082,0.636525,-0.133223,All,#4682B4,0
3,20,0.139908,-0.0957074,1.40531,0.148237,-0.200543,All,#4682B4,0
4,20,-1.16119,-0.39757,-0.0960435,-0.837727,-0.828231,All,#4682B4,0
5,20,-0.445894,-0.489254,-1.415,-0.428353,-0.269461,All,#4682B4,0
6,20,0.448503,-1.04715,-0.225592,0.480068,-0.407099,All,#4682B4,0
7,20,-0.871295,-0.304956,1.87571,0.4135,-0.0968036,All,#4682B4,0
8,20,0.925843,-1.07903,-1.64433,-0.462568,-0.79069,All,#4682B4,0
9,20,-1.2636,0.125632,0.387599,0.425129,0.0570709,All,#4682B4,0
10,20,-0.665908,0.717579,-0.745216,-1.66457,-0.683259,All,#4682B4,0
