pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
,,-0.877663,0.250854,,,All
,,-0.825903,0.275723,,,All
,,-0.774142,0.309242,,,All
,,-0.722381,0.322217,,,All
,,-0.67062,0.388174,,,All
,,-0.61886,0.370874,,,All
,,-0.567099,0.35033,,,All
,,-0.515338,0.394662,,,All
,,-0.463578,0.410881,,,All
,,-0.411817,0.387093,,,All
,,-0.360056,0.417369,,,All
,,-0.308296,0.413043,,,All
,,-0.256535,0.430344,,,All
,,-0.204774,0.413043,,,All
,,-0.153013,0.382768,,,All
,,-0.101253,0.388174,,,All
,,-0.049492,0.393581,,,All
,,0.00226871,0.388174,,,All
,,0.0540294,0.384931,,,All
,,0.10579,0.346005,,,All
,,0.157551,0.373037,,,All
,,0.209312,0.379524,,,All
,,0.261072,0.381687,,,All
,,0.312833,0.390337,,,All
,,0.364594,0.384931,,,All
,,0.416354,0.353574,,,All
,,0.468115,0.379524,,,All
,,0.519876,0.365468,,,All
,,0.571636,0.342761,,,All
,,0.623397,0.301673,,,All
,,0.675158,0.299511,,,All
,,0.726919,0.288698,,,All
,,0.778679,0.313567,,,All
,,0.83044,0.257341,,,All
,,0.882201,0.229228,,,All
,,0.933961,0.291942,,,All
,,0.985722,0.281129,,,All
,,1.03748,0.274641,,,All
,,1.08924,0.215172,,,All
,,1.141,0.19679,,,All
,,1.19276,0.18814,,,All
,,1.24453,0.149215,,,All
,,1.29629,0.158946,,,All
,,1.34805,0.139483,,,All
,,1.39981,0.126508,,,All
,,1.45157,0.136239,,,All
,,1.50333,0.135158,,,All
,,1.55509,0.122183,,,All
,,1.60685,0.0983952,,,All
,,1.65861,0.0951514,,,All
,,1.71037,0.0994764,,,All
,,1.76213,0.0832575,,,All
,,1.81389,0.069201,,,All
,,1.86565,0.0756886,,,All
,,1.91741,0.0551446,,,All
,,1.96918,0.0540633,,,All
,,2.02094,0.048657,,,All
,,2.0727,0.0378443,,,All
,,2.12446,0.0313567,,,All
,,2.17622,0.032438,,,All
,,2.22798,0.0259504,,,All
,,2.27974,0.0313567,,,All
,,2.3315,0.0237878,,,All
,,2.38326,0.0259504,,,All
,,2.43502,0.0291942,,,All
,,2.48678,0.0270316,,,All
,,2.53854,0.0259504,,,All
,,2.5903,0.0173003,,,All
,,2.64206,0.0216253,,,All
,,2.69383,0.00973139,,,All
,,2.74559,0.0151377,,,All
,,2.79735,0.00865013,,,All
,,2.84911,0.0140565,,,All
,,2.90087,0.0118939,,,All
,,2.95263,0.0140565,,,All
,,3.00439,0.00865013,,,All
,,3.05615,0.00756886,,,All
,,3.10791,0.0032438,,,All
,,3.15967,0.00756886,,,All
,,3.21143,0.00756886,,,All
,,3.26319,0.00540633,,,All
,,3.31495,0.00865013,,,All
,,3.36671,0.00648759,,,All
,,3.41848,0.00432506,,,All
,,3.47024,0.00216253,,,All
,,3.522,0.0032438,,,All
,,3.57376,0.00108127,,,All
,,3.62552,0.00216253,,,All
