A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression
0.109777,0.0202363,0.0133139,0.315084,-0.317119,-0.316629,0.451129,0.00508703,0.0210072,0.315084,-0.0465076,-0.00915492,0.451129,-0.446235,-0.445827,0.109777,-0.0176921,-0.0134359
0.115571,0.0189253,0.014452,0.328923,-0.330775,-0.330556,0.464923,0.0066683,0.0215414,0.328923,-0.0551241,-0.00971352,0.464923,-0.460534,-0.459473,0.115571,-0.0165585,-0.014602
0.121364,-0.00126437,0.0155901,0.342762,-0.344492,-0.344482,0.478717,0.00861193,0.0220757,0.342762,-0.0569943,-0.0102721,0.478717,-0.47491,-0.473119,0.121364,0.00271912,-0.0157681
0.127158,-0.0304436,0.0167282,0.356601,-0.358325,-0.358408,0.49251,0.0107413,0.0226099,0.356601,-0.0514831,-0.0108307,0.49251,-0.489325,-0.486765,0.127158,0.0306724,-0.0169341
0.132952,-0.0581399,0.0178663,0.37044,-0.372284,-0.372334,0.506304,0.0124539,0.0231441,0.37044,-0.0404384,-0.0113893,0.506304,-0.503511,-0.500411,0.132952,0.0572716,-0.0181002
0.138745,-0.0744036,0.0190044,0.384278,-0.386353,-0.386261,0.520097,0.0141092,0.0236784,0.384278,-0.0272375,-0.0119479,0.520097,-0.517666,-0.514058,0.138745,0.0729884,-0.0192663
0.144539,-0.0792916,0.0201425,0.398117,-0.400525,-0.400187,0.533891,0.0157646,0.0242126,0.398117,-0.0149734,-0.0125065,0.533891,-0.53182,-0.527704,0.144539,0.0778475,-0.0204324
0.150333,-0.073224,0.0212806,0.411956,-0.414786,-0.414113,0.547685,0.0174199,0.0247468,0.411956,-0.00667511,-0.0130651,0.547685,-0.545974,-0.54135,0.150333,0.0722146,-0.0215984
0.156126,-0.062128,0.0224187,0.425795,-0.429123,-0.428039,0.561478,0.0190752,0.025281,0.425795,-0.00484406,-0.0136237,0.561478,-0.560128,-0.554996,0.156126,0.0617356,-0.0227645
0.16192,-0.0485313,0.0235568,0.439634,-0.443507,-0.441965,0.575272,0.0207306,0.0258153,0.439634,-0.00909987,-0.0141823,0.575272,-0.574283,-0.568642,0.16192,0.048781,-0.0239306
0.167714,-0.0364631,0.0246949,0.453473,-0.4579,-0.455892,0.589066,0.0223859,0.0263495,0.453473,-0.0180948,-0.0147409,0.589066,-0.588437,-0.582288,0.167714,0.0371621,-0.0250967
0.173508,-0.0292099,0.025833,0.467312,-0.47225,-0.469818,0.602859,0.0240412,0.0268837,0.467312,-0.0304787,-0.0152995,0.602859,-0.602591,-0.595934,0.173508,0.0300037,-0.0262628
0.179301,-0.0270825,0.0269711,0.481151,-0.486508,-0.483744,0.616653,0.0256966,0.027418,0.481151,-0.0446807,-0.0158581,0.616653,-0.616745,-0.60958,0.179301,0.0276276,-0.0274288
0.185095,-0.0301968,0.0281092,0.49499,-0.500748,-0.49767,0.630447,0.0273519,0.0279522,0.49499,-0.0588837,-0.0164167,0.630447,-0.6309,-0.623226,0.185095,0.0301781,-0.0285949
0.190889,-0.0369887,0.0292473,0.508828,-0.514601,-0.511597,0.64424,0.0290073,0.0284864,0.508828,-0.0691126,-0.0169753,0.64424,-0.645054,-0.636872,0.190889,0.036219,-0.029761
0.196682,-0.0474144,0.0303854,0.522667,-0.52836,-0.525523,0.658034,0.029001,0.0290206,0.522667,-0.0779572,-0.0175339,0.658034,-0.658643,-0.650518,0.196682,0.0457616,-0.0309271
0.202476,-0.0598569,0.0315235,0.536506,-0.54212,-0.539449,0.671828,0.0279189,0.0295549,0.536506,-0.0868018,-0.0180925,0.671828,-0.671876,-0.664164,0.202476,0.0573056,-0.0320931
0.20827,-0.0739544,0.0326616,0.550345,-0.555585,-0.553375,0.685621,0.0260034,0.0300891,0.550345,-0.0892679,-0.0186511,0.685621,-0.684847,-0.67781,0.20827,0.0707022,-0.0332592
0.214063,-0.0885023,0.0337997,0.564184,-0.568538,-0.567302,0.699415,0.0229568,0.0306233,0.564184,-0.0806406,-0.0192097,0.699415,-0.697463,-0.691456,0.214063,0.0846307,-0.0344253
0.219857,-0.10305,0.0349378,0.578023,-0.581491,-0.581228,0.713209,0.0199102,0.0311576,0.578023,-0.0720134,-0.0197683,0.713209,-0.710079,-0.705102,0.219857,0.0985592,-0.0355914
0.225651,-0.11688,0.0360759,0.591862,-0.593943,-0.595154,0.727002,0.0153872,0.0316918,0.591862,-0.0505197,-0.0203269,0.727002,-0.722239,-0.718748,0.225651,0.112119,-0.0367574
0.231445,-0.12884,0.037214,0.605701,-0.605846,-0.60908,0.740796,0.00993162,0.032226,0.605701,-0.014183,-0.0208855,0.740796,-0.73411,-0.732394,0.231445,0.124317,-0.0379235
0.237238,-0.138377,0.0383521,0.61954,-0.617549,-0.623006,0.75459,0.00447609,0.0327602,0.61954,0.0276975,-0.0214441,0.75459,-0.74598,-0.74604,0.237238,0.134555,-0.0390896
