rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_I0_simulated,split,color,filter
8,185,0.13637,-0.131568,-0.0626132,All,#4682B4,0
1,186,0.422744,-0.418042,-0.0208398,All,#4682B4,0
2,186,0.150721,-0.126302,0.108765,All,#4682B4,0
3,186,0.13235,-0.151704,0.126234,All,#4682B4,0
4,186,0.324065,-0.305463,-0.000298411,All,#4682B4,0
5,186,0.115663,-0.130777,0.162313,All,#4682B4,0
6,186,0.322969,-0.281716,0.0463487,All,#4682B4,0
7,186,0.289818,-0.297834,0.0636183,All,#4682B4,0
8,186,0.355211,-0.357246,0.00563063,All,#4682B4,0
1,187,-0.0289421,-0.00201632,-0.00642577,All,#4682B4,0
2,187,-0.323428,0.319413,0.0872672,All,#4682B4,0
3,187,-0.23202,0.204822,0.0931752,All,#4682B4,0
4,187,0.0804503,-0.0620011,-0.0338639,All,#4682B4,0
5,187,-0.00523937,0.0224213,0.0113646,All,#4682B4,0
6,187,0.011523,-0.019724,-0.000467712,All,#4682B4,0
7,187,-0.0178695,0.0302051,0.000402108,All,#4682B4,0
8,187,0.109902,-0.128447,-0.0419594,All,#4682B4,0
1,188,-0.211458,0.174866,0.067212,All,#4682B4,0
2,188,-0.208944,0.221972,0.0623103,All,#4682B4,0
3,188,0.0211628,-0.0248859,-0.0267211,All,#4682B4,0
4,188,0.0410884,-0.039756,-0.0316206,All,#4682B4,0
5,188,0.0363207,-0.0274206,-0.0377806,All,#4682B4,0
6,188,0.103426,-0.114387,-0.0588019,All,#4682B4,0
7,188,-0.320467,0.308137,0.0757333,All,#4682B4,0
8,188,0.0790031,-0.07465,-0.077189,All,#4682B4,0
1,189,0.159264,-0.138196,0.016742,All,#4682B4,0
2,189,0.0538062,-0.0570901,0.0698646,All,#4682B4,0
3,189,-0.0277435,0.0196749,0.0857664,All,#4682B4,0
4,189,-0.291069,0.298415,0.180982,All,#4682B4,0
5,189,0.16744,-0.152621,-0.00436295,All,#4682B4,0
6,189,0.249061,-0.194494,-0.0398538,All,#4682B4,0
7,189,0.157334,-0.149499,0.0121041,All,#4682B4,0
8,189,0.214704,-0.21158,-0.0189491,All,#4682B4,0
1,190,-0.35896,0.361945,-0.0796744,All,#4682B4,0
2,190,-0.453587,0.453896,-0.081823,All,#4682B4,0
