time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
10.0789,0.0357584,10.0789,0.0389348,10.0789,0.0321425,0.590598,0.032395,0.612899,-0.0082335,0.590598,0.0267552,All
10.7088,0.0807373,10.7088,0.105281,10.7088,0.0684566,0.592616,0.0315028,0.620906,-0.00581149,0.592616,0.025796,All
11.3388,0.0828392,11.3388,0.109446,11.3388,0.0707443,0.593981,0.0308994,0.621077,-0.00580366,0.593981,0.0251472,All
11.9687,0.0907355,11.9687,0.117954,11.9687,0.0849491,0.59585,0.0300733,0.628913,-0.00544392,0.59585,0.0242591,All
12.5986,0.0837916,12.5986,0.108302,12.5986,0.0803038,0.597384,0.0293952,0.630206,-0.00538459,0.597384,0.0235301,All
13.2286,0.0989008,13.2286,0.132064,13.2286,0.0916196,0.599084,0.0286437,0.63692,-0.00458386,0.599084,0.0227222,All
13.8585,0.0791761,13.8585,0.101839,13.8585,0.0693944,0.600806,0.0278824,0.639469,-0.00381279,0.600806,0.0219037,All
14.2964,0.0398827,14.2964,0.0459147,14.2964,0.0301054,0.602317,0.0272141,0.644927,-0.00216145,0.602317,0.0211852,All
14.4884,0.0484806,14.4884,0.0571461,14.4884,0.0374615,0.604247,0.026361,0.648868,-0.00252442,0.604247,0.020268,All
15.1184,0.046382,15.1184,0.0571765,15.1184,0.0354873,0.605551,0.0257845,0.652934,0.00197111,0.605551,0.0196483,All
15.7483,0.00278115,15.7483,-0.00381772,15.7483,-0.00667483,0.607708,0.0248308,0.658406,-0.000352956,0.607708,0.0186229,All
16.3782,0.0317698,16.3782,0.0361389,16.3782,0.0244147,0.608785,0.024355,0.660941,0.000379041,0.608785,0.0181114,All
17.0082,-0.0174229,17.0082,-0.0331565,17.0082,-0.0206032,0.611189,0.0232919,0.668083,0.00216116,0.611189,0.0169684,All
17.6381,-0.0319862,17.6381,-0.0561449,17.6381,-0.0388675,0.612018,0.0229254,0.668948,0.00229994,0.612018,0.0165744,All
18.268,0.0121128,18.268,0.00798667,18.268,0.00296325,0.61469,0.0217441,0.676955,0.00358481,0.61469,0.0153044,All
18.898,-0.0139881,18.898,-0.0308467,18.898,-0.022557,0.615252,0.0214958,0.677903,0.00373696,0.615252,0.0150375,All
19.5279,-0.0463158,19.5279,-0.075047,19.5279,-0.0543562,0.618211,0.0201875,0.684962,0.00486969,0.618211,0.0136309,All
20.1578,-0.0855903,20.1578,-0.128766,20.1578,-0.0925958,0.618486,0.0200663,0.687867,0.00533592,0.618486,0.0135006,All
20.7878,-0.068083,20.7878,-0.106232,20.7878,-0.0765534,0.621719,0.0186367,0.692969,0.00691469,0.621719,0.0119636,All
21.4177,-0.0607581,21.4177,-0.092751,21.4177,-0.0667399,0.621753,0.018622,0.697978,0.00870068,0.621753,0.0119478,All
22.0476,-0.0723805,22.0476,-0.112326,22.0476,-0.0844948,0.624953,0.0172071,0.700976,0.00943817,0.624953,0.0104267,All
22.6776,-0.0928135,22.6776,-0.140898,22.6776,-0.103624,0.625314,0.0170475,0.708237,0.0104589,0.625314,0.0102551,All
23.3075,-0.146662,23.3075,-0.216703,23.3075,-0.15428,0.628187,0.0157776,0.708983,0.00979531,0.628187,0.00888977,All
23.9374,-0.073644,23.9374,-0.114416,23.9374,-0.0819942,0.628896,0.015464,0.71699,0.00804515,0.628896,0.00855263,All
24.5673,-0.10574,24.5673,-0.159035,24.5673,-0.113372,0.63142,0.014348,0.718647,0.00872743,0.63142,0.00735284,All
25.1973,-0.121622,25.1973,-0.181727,25.1973,-0.129926,0.632498,0.0138714,0.724997,0.0113409,0.632498,0.00684044,All
