ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
5,12.0325,0.650822,-1.72673,-1.72673,0.492461,0.265129,0.265129,0.493956,0.241595,0.241595,0.650822,-1.86771,-1.86771,0,All,#4682B4,0
5,12.3863,0.650822,-1.59861,-1.59861,0.492461,0.358479,0.358479,0.493956,0.334945,0.334945,0.650822,-1.73176,-1.73176,0,All,#4682B4,0
5,12.7402,0.650822,-1.04343,-1.04343,0.492461,1.06683,1.06683,0.493956,1.04329,1.04329,0.650822,-0.988849,-0.988849,0,All,#4682B4,0
5,13.0941,0.650822,-2.26043,-2.26043,0.492461,-0.565978,-0.565978,0.493956,-0.589512,-0.589512,0.650822,-2.29479,-2.29479,0,All,#4682B4,0
5,13.448,0.650822,-1.56611,-1.56611,0.492461,0.354371,0.354371,0.493956,0.330837,0.330837,0.650822,-1.50375,-1.50375,0,All,#4682B4,0
5,13.8019,0.650822,-1.90963,-1.90963,0.492461,0.0569185,0.0569185,0.493956,0.0333845,0.0333845,0.650822,-1.99055,-1.99055,0,All,#4682B4,0
5,14.1558,0.650822,-1.85259,-1.85259,0.492461,-0.111911,-0.111911,0.493956,-0.135445,-0.135445,0.650822,-1.99567,-1.99567,0,All,#4682B4,0
5,14.5097,0.650822,-1.93138,-1.93138,0.492461,-0.191225,-0.191225,0.493956,-0.214759,-0.214759,0.650822,-2.00213,-2.00213,0,All,#4682B4,0
5,14.8636,0.650822,-2.19479,-2.19479,0.492461,-0.56035,-0.56035,0.493956,-0.583884,-0.583884,0.650822,-2.67659,-2.67659,0,All,#4682B4,0
5,15.2175,0.650822,-1.68582,-1.68582,0.492461,0.21841,0.21841,0.493956,0.194876,0.194876,0.650822,-1.78738,-1.78738,0,All,#4682B4,0
5,15.5714,0.650822,-1.49545,-1.49545,0.492461,0.695237,0.695237,0.493956,0.671703,0.671703,0.650822,-1.48392,-1.48392,0,All,#4682B4,0
5,15.9253,0.650822,-2.4702,-2.4702,0.492461,-0.888408,-0.888408,0.493956,-0.911942,-0.911942,0.650822,-3.01098,-3.01098,0,All,#4682B4,0
5,16.2792,0.650822,-1.67225,-1.67225,0.492461,0.270071,0.270071,0.493956,0.246537,0.246537,0.650822,-1.73251,-1.73251,0,All,#4682B4,0
5,16.6331,0.650822,-1.08331,-1.08331,0.492461,1.16902,1.16902,0.493956,1.14549,1.14549,0.650822,-1.07406,-1.07406,0,All,#4682B4,0
5,16.987,0.650822,-1.58532,-1.58532,0.492461,0.340681,0.340681,0.493956,0.317147,0.317147,0.650822,-1.55748,-1.55748,0,All,#4682B4,0
5,17.3409,0.650822,-2.39158,-2.39158,0.492461,-0.986152,-0.986152,0.493956,-1.00969,-1.00969,0.650822,-2.82044,-2.82044,0,All,#4682B4,0
5,17.6948,0.650822,-1.64157,-1.64157,0.492461,0.253572,0.253572,0.493956,0.230038,0.230038,0.650822,-1.80957,-1.80957,0,All,#4682B4,0
5,18.0487,0.650822,-1.1156,-1.1156,0.492461,0.948759,0.948759,0.493956,0.925225,0.925225,0.650822,-1.06332,-1.06332,0,All,#4682B4,0
5,18.4026,0.650822,-1.74706,-1.74706,0.492461,0.0365275,0.0365275,0.493956,0.0129934,0.0129934,0.650822,-1.90188,-1.90188,0,All,#4682B4,0
5,18.7564,0.650822,-1.85616,-1.85616,0.492461,-0.150764,-0.150764,0.493956,-0.174298,-0.174298,0.650822,-1.9436,-1.9436,0,All,#4682B4,0
5,19.1103,0.650822,-2.37186,-2.37186,0.492461,-0.81516,-0.81516,0.493956,-0.838694,-0.838694,0.650822,-2.70458,-2.70458,0,All,#4682B4,0
5,19.4642,0.650822,-1.90875,-1.90875,0.492461,-0.214524,-0.214524,0.493956,-0.238058,-0.238058,0.650822,-2.06237,-2.06237,0,All,#4682B4,0
