rep,id,eta_A1,eta_tau1
4,49,0.20469447208443,0.24235175278619
5,49,0.193814543132901,0.236089034501609
6,49,0.207380173584066,0.25552962839499
7,49,0.212859702699183,0.260903816163935
8,49,0.186991138696079,0.209238096376908
9,49,0.194987652812872,0.240315119996382
10,49,0.185226870632492,0.235973768913189
1,50,0.0932399995180857,0.114049314828661
2,50,0.0657364792505173,0.0791038898688311
3,50,0.0902923346727298,0.114901835348388
4,50,0.0529768474397043,0.05996310058638
5,50,0.0437988576124229,0.050994607659202
6,50,0.0673006053362982,0.0760091566104984
7,50,0.0891819475592096,0.0865361452655479
8,50,0.0803127515584319,0.0908918170764799
9,50,0.0798589433807536,0.100665476560368
10,50,0.0499579621209983,0.0421174537537815
1,51,-0.0446373813812814,-0.0572721301320947
2,51,-0.048205912627292,-0.07613448104351
3,51,-0.0389776383777494,-0.0460541957506837
4,51,-0.0444529538371244,-0.0530597237749379
5,51,-0.0562930756389144,-0.0768944772480621
6,51,-0.0604682250780859,-0.0838439475241266
7,51,-0.0448161572877854,-0.0685207704500286
8,51,-0.0363698777816596,-0.042230187427289
9,51,-0.0343367537323226,-0.028178756039926
10,51,-0.0324252170626305,-0.040394129833322
