standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
-0.941165,0.183712,-0.751776,0.183712,-0.759268,0.183712,All
-0.916004,0.185606,-0.744729,0.185606,-0.7475,0.185606,All
-0.864728,0.1875,-0.736945,0.1875,-0.74221,0.1875,All
-0.864444,0.189394,-0.736295,0.189394,-0.73933,0.189394,All
-0.84605,0.191288,-0.732815,0.191288,-0.737907,0.191288,All
-0.825809,0.193182,-0.732515,0.193182,-0.726549,0.193182,All
-0.823157,0.195076,-0.726374,0.195076,-0.725668,0.195076,All
-0.815363,0.19697,-0.721868,0.19697,-0.721,0.19697,All
-0.809019,0.198864,-0.71602,0.198864,-0.716267,0.198864,All
-0.808718,0.200758,-0.715501,0.200758,-0.716005,0.200758,All
-0.804415,0.202652,-0.69911,0.202652,-0.70908,0.202652,All
-0.798676,0.204545,-0.697991,0.204545,-0.703629,0.204545,All
-0.793705,0.206439,-0.688312,0.206439,-0.693786,0.206439,All
-0.791949,0.208333,-0.685338,0.208333,-0.680839,0.208333,All
-0.771997,0.210227,-0.682684,0.210227,-0.661231,0.210227,All
-0.771002,0.212121,-0.667294,0.212121,-0.656166,0.212121,All
-0.768188,0.214015,-0.661002,0.214015,-0.642112,0.214015,All
-0.767971,0.215909,-0.652905,0.215909,-0.636945,0.215909,All
-0.756818,0.217803,-0.646449,0.217803,-0.634715,0.217803,All
-0.742704,0.219697,-0.6462,0.219697,-0.632156,0.219697,All
-0.728947,0.221591,-0.638275,0.221591,-0.600719,0.221591,All
-0.726974,0.223485,-0.635288,0.223485,-0.586809,0.223485,All
-0.726971,0.225379,-0.631469,0.225379,-0.583756,0.225379,All
-0.716637,0.227273,-0.6266,0.227273,-0.581012,0.227273,All
-0.712343,0.229167,-0.625681,0.229167,-0.57456,0.229167,All
-0.694242,0.231061,-0.623148,0.231061,-0.571184,0.231061,All
-0.686653,0.232955,-0.62022,0.232955,-0.563723,0.232955,All
-0.683963,0.234848,-0.617228,0.234848,-0.555479,0.234848,All
-0.683309,0.236742,-0.612926,0.236742,-0.545646,0.236742,All
-0.682287,0.238636,-0.611989,0.238636,-0.526223,0.238636,All
-0.676288,0.24053,-0.610005,0.24053,-0.524945,0.24053,All
-0.672307,0.242424,-0.609859,0.242424,-0.515836,0.242424,All
-0.661678,0.244318,-0.60566,0.244318,-0.507945,0.244318,All
-0.636591,0.246212,-0.600332,0.246212,-0.506708,0.246212,All
-0.634076,0.248106,-0.597675,0.248106,-0.502737,0.248106,All
-0.628731,0.25,-0.597363,0.25,-0.479513,0.25,All
-0.618921,0.251894,-0.594216,0.251894,-0.471427,0.251894,All
-0.615593,0.253788,-0.58659,0.253788,-0.468196,0.253788,All
-0.609093,0.255682,-0.583821,0.255682,-0.462482,0.255682,All
-0.60849,0.257576,-0.573088,0.257576,-0.454512,0.257576,All
-0.603701,0.25947,-0.572302,0.25947,-0.446484,0.25947,All
-0.600519,0.261364,-0.568261,0.261364,-0.44341,0.261364,All
-0.565709,0.263258,-0.561493,0.263258,-0.431371,0.263258,All
-0.564752,0.265152,-0.557811,0.265152,-0.430686,0.265152,All
-0.558089,0.267045,-0.553925,0.267045,-0.426227,0.267045,All
-0.554954,0.268939,-0.55233,0.268939,-0.425831,0.268939,All
-0.547368,0.270833,-0.544819,0.270833,-0.404005,0.270833,All
-0.545827,0.272727,-0.544179,0.272727,-0.403109,0.272727,All
-0.54164,0.274621,-0.539718,0.274621,-0.396841,0.274621,All
-0.53974,0.276515,-0.531991,0.276515,-0.396712,0.276515,All
-0.53965,0.278409,-0.530631,0.278409,-0.389358,0.278409,All
-0.538945,0.280303,-0.522061,0.280303,-0.388518,0.280303,All
-0.53468,0.282197,-0.513559,0.282197,-0.381118,0.282197,All
