rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_I0_simulated,filter
1,187,-0.138542,-0.00973601,-0.0596272,0
2,187,-1.5482,1.54231,0.809787,0
3,187,-1.11064,0.989001,0.86461,0
4,187,0.385104,-0.299378,-0.314237,0
5,187,-0.0250801,0.108264,0.105457,0
6,187,0.055159,-0.0952391,-0.00434008,0
7,187,-0.0855384,0.145848,0.00373132,0
8,187,0.526084,-0.62022,-0.389358,0
1,188,-1.01222,0.844356,0.623687,0
2,188,-1.00018,1.07181,0.578202,0
3,188,0.101303,-0.120164,-0.247955,0
4,188,0.196684,-0.191965,-0.29342,0
5,188,0.173862,-0.132403,-0.350581,0
6,188,0.495085,-0.55233,-0.545646,0
7,188,-1.53403,1.48787,0.702759,0
8,188,0.378176,-0.360455,-0.716267,0
1,189,0.762373,-0.667294,0.155356,0
2,189,0.257562,-0.275665,0.648301,0
3,189,-0.132804,0.0950022,0.79586,0
4,189,-1.3933,1.44092,1.6794,0
5,189,0.80151,-0.736945,-0.0404855,0
6,189,1.19222,-0.939132,-0.369819,0
7,189,0.753132,-0.721868,0.112318,0
8,189,1.02775,-1.02163,-0.175836,0
1,190,-1.71829,1.74768,-0.73933,0
2,190,-2.17125,2.19168,-0.759268,0
3,190,-1.05068,0.979671,-1.50183,0
4,190,-0.864444,0.830346,-1.5363,0
5,190,-1.46003,1.59178,-1.14313,0
6,190,-1.58177,1.68313,-0.888495,0
7,190,-1.50619,1.46033,-1.0788,0
8,190,-1.2641,1.1975,-1.17216,0
1,191,0.552221,-0.378988,-0.358868,0
2,191,-0.320596,0.429059,0.457741,0
3,191,-0.217248,0.290418,0.425796,0
4,191,-0.385128,0.265952,0.564432,0
5,191,0.0810032,0.00968044,0.095914,0
6,191,1.53311,-1.43319,-1.13858,0
7,191,-0.618921,0.561917,0.620563,0
8,191,0.19463,-0.181191,0.462103,0
1,192,-1.41011,1.4162,-0.996793,0
2,192,-1.70979,1.85609,-0.725668,0
3,192,-1.25087,1.30016,-1.32186,0
4,192,-1.02299,1.11043,-1.3513,0
5,192,-1.46193,1.33624,-1.65815,0
6,192,-1.29277,1.32161,-1.47266,0
7,192,-0.686653,0.690825,-1.83105,0
8,192,-1.19217,1.16327,-1.28844,0
1,193,-1.12032,1.15851,1.25487,0
2,193,0.0673157,-0.159891,0.337079,0
3,193,-0.23341,0.180201,0.744388,0
4,193,-0.615593,0.633229,1.00838,0
5,193,0.285488,-0.272074,0.230907,0
6,193,-0.202496,0.279915,0.866889,0
7,193,-0.318742,0.351862,0.786803,0
8,193,-1.06359,1.05022,1.1449,0
