popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.58389,0.592268,0.58389,0.479436,0.688344,0.596885,0.596048,0.596885,0.492431,0.701339,All
0.586149,0.594492,0.586149,0.481695,0.690603,0.603214,0.602501,0.603214,0.49876,0.707668,All
0.587235,0.59556,0.587235,0.482781,0.691689,0.604892,0.604212,0.604892,0.500438,0.709346,All
0.589383,0.597675,0.589383,0.484929,0.693837,0.61208,0.611541,0.61208,0.507626,0.716534,All
0.590598,0.598872,0.590598,0.486144,0.695052,0.612899,0.612376,0.612899,0.508445,0.717353,All
0.592616,0.600858,0.592616,0.488162,0.69707,0.620906,0.620537,0.620906,0.516452,0.72536,All
0.593981,0.602202,0.593981,0.489528,0.698435,0.621077,0.620708,0.621077,0.516623,0.725531,All
0.59585,0.604041,0.59585,0.491396,0.700304,0.628913,0.628568,0.628913,0.524459,0.733367,All
0.597384,0.605551,0.597384,0.49293,0.701838,0.630206,0.629864,0.630206,0.525752,0.73466,All
0.599084,0.607224,0.599084,0.49463,0.703538,0.63692,0.636629,0.63692,0.532466,0.741374,All
0.600806,0.608919,0.600806,0.496352,0.70526,0.639469,0.639227,0.639469,0.535015,0.743923,All
0.602317,0.610407,0.602317,0.497863,0.706771,0.644927,0.64479,0.644927,0.540473,0.749381,All
0.604247,0.612307,0.604247,0.499793,0.708701,0.648868,0.648708,0.648868,0.544414,0.753322,All
0.605551,0.61359,0.605551,0.501097,0.710005,0.652934,0.653059,0.652934,0.54848,0.757388,All
0.607708,0.615714,0.607708,0.503254,0.712162,0.658406,0.658383,0.658406,0.553952,0.762859,All
0.608785,0.616773,0.608785,0.504331,0.713239,0.660941,0.660965,0.660941,0.556487,0.765395,All
0.611189,0.61914,0.611189,0.506736,0.715643,0.668083,0.66822,0.668083,0.563629,0.772537,All
0.612018,0.619956,0.612018,0.507564,0.716472,0.668948,0.669094,0.668948,0.564494,0.773402,All
0.61469,0.622586,0.61469,0.510236,0.719144,0.676955,0.677183,0.676955,0.572501,0.781409,All
0.615252,0.623139,0.615252,0.510798,0.719706,0.677903,0.67814,0.677903,0.573449,0.782357,All
0.618211,0.626052,0.618211,0.513758,0.722665,0.684962,0.685271,0.684962,0.580508,0.789416,All
0.618486,0.626322,0.618486,0.514032,0.72294,0.687867,0.688206,0.687867,0.583413,0.792321,All
0.621719,0.629505,0.621719,0.517265,0.726173,0.692969,0.693408,0.692969,0.588515,0.797423,All
0.621753,0.629538,0.621753,0.517299,0.726207,0.697978,0.698531,0.697978,0.593524,0.802432,All
0.624953,0.632688,0.624953,0.520499,0.729407,0.700976,0.701575,0.700976,0.596522,0.80543,All
0.625314,0.633044,0.625314,0.52086,0.729768,0.708237,0.708901,0.708237,0.603783,0.812691,All
0.628187,0.635871,0.628187,0.523733,0.732641,0.708983,0.709605,0.708983,0.604529,0.813437,All
0.628896,0.636569,0.628896,0.524442,0.73335,0.71699,0.717501,0.71699,0.612536,0.821444,All
0.63142,0.639054,0.63142,0.526966,0.735874,0.718647,0.719202,0.718647,0.614193,0.823101,All
0.632498,0.640115,0.632498,0.528044,0.736952,0.724997,0.725717,0.724997,0.620543,0.829451,All
0.634654,0.642237,0.634654,0.5302,0.739108,0.72921,0.730041,0.72921,0.624757,0.833664,All
0.636121,0.643682,0.636121,0.531668,0.740575,0.733004,0.733917,0.733004,0.62855,0.837458,All
0.637888,0.64542,0.637888,0.533434,0.742342,0.739929,0.740883,0.739929,0.635475,0.844383,All
0.639765,0.647268,0.639765,0.535311,0.744219,0.741011,0.741972,0.741011,0.636557,0.845465,All
0.641121,0.648603,0.641121,0.536667,0.745575,0.749018,0.750026,0.749018,0.644564,0.853472,All
0.64343,0.650876,0.64343,0.538976,0.747884,0.750805,0.751824,0.750805,0.646351,0.855259,All
0.644355,0.651786,0.644355,0.539901,0.748809,0.757025,0.758081,0.757025,0.652571,0.861478,All
0.647115,0.654504,0.647115,0.542662,0.751569,0.761841,0.762926,0.761841,0.657387,0.866294,All
0.647589,0.654969,0.647589,0.543135,0.752042,0.765032,0.766136,0.765032,0.660578,0.869485,All
0.650822,0.658152,0.650822,0.546368,0.755276,0.773039,0.77419,0.773039,0.668585,0.877492,All
