iteration,convergenceIndicator,phase,A1_pop,tau1_pop,A2_pop,tau2_pop,I0_pop,omega_A1,omega_tau1,omega_A2,omega_tau2,omega_I0,corr_A2_A1,corr_tau1_A1,corr_tau2_A1,corr_tau1_A2,corr_tau2_A2,corr_tau2_tau1,a
65,-2230.8,1,0.134969,1082.01,0.16814,169.377,0.343885,0.272451,1.37828,0.201025,2.44171,0.193711,0,0,0,0,0,0,0.193711
66,-2315.68,1,0.135748,910.955,0.160807,242.828,0.344877,0.265553,1.35295,0.205103,2.37989,0.188807,0,0,0,0,0,0,0.188807
67,-2402.67,1,0.134244,863.125,0.166365,214.054,0.350704,0.274129,1.31869,0.19991,2.31963,0.184026,0,0,0,0,0,0,0.184026
68,-2496.63,1,0.131978,939.898,0.162524,217.19,0.354679,0.279583,1.2853,0.194848,2.26089,0.179366,0,0,0,0,0,0,0.179366
69,-2576.62,1,0.125566,821.667,0.160557,340.13,0.358483,0.272503,1.25276,0.189914,2.32743,0.174825,0,0,0,0,0,0,0.174825
70,-2662.65,1,0.119788,917.706,0.163015,403.008,0.361653,0.265604,1.22104,0.185105,2.2685,0.170398,0,0,0,0,0,0,0.170398
71,-2748.54,1,0.116755,926.796,0.165197,685.91,0.366778,0.258878,1.19012,0.180418,2.21106,0.166083,0,0,0,0,0,0,0.166083
72,-2833.51,1,0.119314,926.706,0.167194,819.961,0.360012,0.252323,1.27009,0.17585,2.15508,0.161878,0,0,0,0,0,0,0.161878
73,-2898.25,1,0.120207,987.1,0.169352,1125.63,0.361563,0.245934,1.23793,0.171398,2.21027,0.157779,0,0,0,0,0,0,0.157779
74,-2965.61,1,0.117994,1148.82,0.163498,756.729,0.372797,0.239707,1.30148,0.187615,2.241,0.153784,0,0,0,0,0,0,0.153784
75,-3046.47,1,0.117886,1441.2,0.159426,669.668,0.372736,0.233638,1.39427,0.182864,2.38765,0.151115,0,0,0,0,0,0,0.14989
76,-3128.5,1,0.114273,1231.71,0.158097,698.865,0.377984,0.227722,1.35896,0.178234,2.32719,0.147288,0,0,0,0,0,0,0.146095
77,-3192.88,1,0.110066,863.92,0.160051,1143.29,0.378556,0.240429,1.48711,0.173721,2.26826,0.145048,0,0,0,0,0,0,0.142396
78,-3261.59,1,0.114881,1046.26,0.154838,803.033,0.380939,0.239605,1.69876,0.187294,2.26247,0.141376,-0.00371828,-0.151758,-0.00687051,0.0902798,0.0232858,0.164031,0.13879
79,-3342.16,1,0.116589,1016.23,0.152468,866.437,0.378771,0.233538,1.88077,0.182551,2.31616,0.137796,0.0119715,-0.291811,0.0738371,0.120546,0.0874172,0.159225,0.135276
80,-3405.97,1,0.11886,907.526,0.151988,601.629,0.37639,0.243266,1.99036,0.177929,2.31112,0.134307,-0.00281112,-0.440402,-0.0439333,0.0328281,0.0512042,0.0130693,0.131851
81,-3477.89,1,0.121703,773.375,0.152443,424.901,0.376791,0.237106,1.93996,0.173424,2.53396,0.134756,-0.264842,-0.426719,-0.224599,-0.0141782,0.0990998,0.0695456,0.128512
82,-3535.06,1,0.117804,862.137,0.15205,408.478,0.375072,0.2602,2.08498,0.181662,2.49615,0.141408,-0.318231,-0.556884,-0.392054,0.0754598,0.131895,0.303943,0.125258
83,-3620.58,1,0.113647,992.615,0.154353,487.641,0.382719,0.253612,2.03218,0.177062,2.43295,0.137827,-0.341669,-0.517127,-0.468601,0.151627,0.188683,0.289119,0.122087
84,-3679.47,1,0.110935,850.607,0.152964,480.971,0.384221,0.24719,2.14583,0.172579,2.46648,0.134337,-0.287454,-0.577576,-0.378326,0.0580978,-0.0128995,0.316734,0.118995
85,-3746.94,1,0.109755,992.827,0.155266,567.634,0.384395,0.240931,2.0915,0.185698,2.55228,0.143589,-0.310305,-0.37519,-0.351709,-0.0212227,0.0107229,0.381351,0.115982
86,-3799.19,1,0.110033,1040.47,0.156058,481.109,0.383045,0.23483,2.03854,0.180996,2.55552,0.156699,-0.255964,-0.162342,-0.301837,-0.330099,-0.208134,0.375294,0.113045
87,-3863.27,1,0.0994101,1034.4,0.157933,1100.92,0.392385,0.228884,2.221,0.176413,2.49081,0.152731,-0.224076,-0.172441,-0.239642,-0.30463,-0.0738336,0.303159,0.110183
88,-3932.54,1,0.099109,1009.3,0.158411,368.268,0.392167,0.223089,2.16476,0.176423,2.42774,0.155517,-0.0190787,-0.273219,-0.375302,-0.390626,0.0179093,0.285976,0.107393
